scan-selfplay: 1000 seeds (>= 40p), Scan depth 8
  [Scan init] init eval
  [Scan] bb-size=0 (no bitbases — FAIR comparison)
  50/1000 games, 7188 positions
  100/1000 games, 14562 positions
  150/1000 games, 22043 positions
  200/1000 games, 29601 positions
  250/1000 games, 37055 positions
  300/1000 games, 44516 positions
  350/1000 games, 51887 positions
  400/1000 games, 59376 positions
  450/1000 games, 66765 positions
  500/1000 games, 73999 positions
  550/1000 games, 81324 positions
  600/1000 games, 88687 positions
  650/1000 games, 96280 positions
  700/1000 games, 103668 positions
  750/1000 games, 111189 positions
  800/1000 games, 118631 positions
  850/1000 games, 126343 positions
  900/1000 games, 133682 positions
  950/1000 games, 141339 positions
  1000/1000 games, 148872 positions
wrote /root/jass/jobs/results/ccx33-0328-scan-selfplay-corpus/artefacts.src/.sp-7.jnnw (148872 positions from 1000 Scan self-play games)
