scan-selfplay: 1000 seeds (>= 40p), Scan depth 8
  [Scan init] init eval
  [Scan] bb-size=0 (no bitbases — FAIR comparison)
  50/1000 games, 7401 positions
  100/1000 games, 14966 positions
  150/1000 games, 22412 positions
  200/1000 games, 29854 positions
  250/1000 games, 37355 positions
  300/1000 games, 44792 positions
  350/1000 games, 52505 positions
  400/1000 games, 59798 positions
  450/1000 games, 67231 positions
  500/1000 games, 74647 positions
  550/1000 games, 82165 positions
  600/1000 games, 89584 positions
  650/1000 games, 97145 positions
  700/1000 games, 104587 positions
  750/1000 games, 111883 positions
  800/1000 games, 119421 positions
  850/1000 games, 127024 positions
  900/1000 games, 134550 positions
  950/1000 games, 142003 positions
  1000/1000 games, 149364 positions
wrote /root/jass/jobs/results/ccx33-0328-scan-selfplay-corpus/artefacts.src/.sp-4.jnnw (149364 positions from 1000 Scan self-play games)
