gen-data-wdl: n=62500 out=/root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/shard-3.bin eval_depth=4 play_depth=4 max_plies=200 seed=86003 nnue=/root/jass/jobs/results/0083-scan-distill-v11-capacity-bump/artefacts.src/arch-1024-512/nnue-1024-512-q.bin quiet_only=true pv_extract=3
  played 50 games, 1172 / 62500 positions
  played 100 games, 2328 / 62500 positions
  played 150 games, 3548 / 62500 positions
  played 200 games, 4848 / 62500 positions
  played 250 games, 6185 / 62500 positions
  played 300 games, 7407 / 62500 positions
  played 350 games, 8583 / 62500 positions
  played 400 games, 9855 / 62500 positions
  played 450 games, 11056 / 62500 positions
  played 500 games, 12162 / 62500 positions
  played 550 games, 13391 / 62500 positions
  played 600 games, 14533 / 62500 positions
  played 650 games, 15609 / 62500 positions
  played 700 games, 16832 / 62500 positions
  played 750 games, 18094 / 62500 positions
  played 800 games, 19332 / 62500 positions
  played 850 games, 20602 / 62500 positions
  played 900 games, 21715 / 62500 positions
  played 950 games, 22994 / 62500 positions
  played 1000 games, 24173 / 62500 positions
  played 1050 games, 25305 / 62500 positions
  played 1100 games, 26505 / 62500 positions
  played 1150 games, 27771 / 62500 positions
  played 1200 games, 28889 / 62500 positions
  played 1250 games, 30141 / 62500 positions
  played 1300 games, 31306 / 62500 positions
  played 1350 games, 32596 / 62500 positions
  played 1400 games, 33740 / 62500 positions
  played 1450 games, 35028 / 62500 positions
  played 1500 games, 36214 / 62500 positions
  played 1550 games, 37333 / 62500 positions
  played 1600 games, 38487 / 62500 positions
  played 1650 games, 39506 / 62500 positions
  played 1700 games, 40792 / 62500 positions
  played 1750 games, 42019 / 62500 positions
  played 1800 games, 43184 / 62500 positions
  played 1850 games, 44510 / 62500 positions
  played 1900 games, 45684 / 62500 positions
  played 1950 games, 46832 / 62500 positions
  played 2000 games, 48008 / 62500 positions
  played 2050 games, 49221 / 62500 positions
  played 2100 games, 50385 / 62500 positions
  played 2150 games, 51566 / 62500 positions
  played 2200 games, 52829 / 62500 positions
  played 2250 games, 54043 / 62500 positions
  played 2300 games, 55208 / 62500 positions
  played 2350 games, 56334 / 62500 positions
  played 2400 games, 57425 / 62500 positions
  played 2450 games, 58686 / 62500 positions
  played 2500 games, 59911 / 62500 positions
  played 2550 games, 61122 / 62500 positions
  played 2600 games, 62341 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/shard-3.bin
