gen-data-wdl: n=62500 out=/root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/shard-4.bin eval_depth=4 play_depth=4 max_plies=200 seed=86004 nnue=/root/jass/jobs/results/0083-scan-distill-v11-capacity-bump/artefacts.src/arch-1024-512/nnue-1024-512-q.bin quiet_only=true pv_extract=3
  played 50 games, 1200 / 62500 positions
  played 100 games, 2390 / 62500 positions
  played 150 games, 3557 / 62500 positions
  played 200 games, 4738 / 62500 positions
  played 250 games, 5955 / 62500 positions
  played 300 games, 7147 / 62500 positions
  played 350 games, 8242 / 62500 positions
  played 400 games, 9443 / 62500 positions
  played 450 games, 10635 / 62500 positions
  played 500 games, 11763 / 62500 positions
  played 550 games, 13037 / 62500 positions
  played 600 games, 14248 / 62500 positions
  played 650 games, 15455 / 62500 positions
  played 700 games, 16661 / 62500 positions
  played 750 games, 17769 / 62500 positions
  played 800 games, 19017 / 62500 positions
  played 850 games, 20289 / 62500 positions
  played 900 games, 21565 / 62500 positions
  played 950 games, 22841 / 62500 positions
  played 1000 games, 24129 / 62500 positions
  played 1050 games, 25367 / 62500 positions
  played 1100 games, 26543 / 62500 positions
  played 1150 games, 27840 / 62500 positions
  played 1200 games, 29097 / 62500 positions
  played 1250 games, 30267 / 62500 positions
  played 1300 games, 31441 / 62500 positions
  played 1350 games, 32542 / 62500 positions
  played 1400 games, 33712 / 62500 positions
  played 1450 games, 34897 / 62500 positions
  played 1500 games, 36047 / 62500 positions
  played 1550 games, 37258 / 62500 positions
  played 1600 games, 38555 / 62500 positions
  played 1650 games, 39824 / 62500 positions
  played 1700 games, 40966 / 62500 positions
  played 1750 games, 42063 / 62500 positions
  played 1800 games, 43238 / 62500 positions
  played 1850 games, 44408 / 62500 positions
  played 1900 games, 45573 / 62500 positions
  played 1950 games, 46710 / 62500 positions
  played 2000 games, 47853 / 62500 positions
  played 2050 games, 48901 / 62500 positions
  played 2100 games, 50119 / 62500 positions
  played 2150 games, 51328 / 62500 positions
  played 2200 games, 52431 / 62500 positions
  played 2250 games, 53590 / 62500 positions
  played 2300 games, 54706 / 62500 positions
  played 2350 games, 55802 / 62500 positions
  played 2400 games, 57039 / 62500 positions
  played 2450 games, 58194 / 62500 positions
  played 2500 games, 59304 / 62500 positions
  played 2550 games, 60496 / 62500 positions
  played 2600 games, 61615 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/shard-4.bin
