gen-data-wdl: n=125000 out=/root/jass/jobs/results/0056-v8-quiet-pv-1M-v7-labeller/artefacts.src/shard-7.bin eval_depth=16 play_depth=4 max_plies=200 seed=23007 nnue=/root/jass/jobs/results/0050-v7-quiet-pv-extract-1M/artefacts.src/nnue-256-128-q.bin quiet_only=true pv_extract=3
  played 50 games, 4346 / 125000 positions
  played 100 games, 8794 / 125000 positions
  played 150 games, 12892 / 125000 positions
  played 200 games, 17069 / 125000 positions
  played 250 games, 21093 / 125000 positions
  played 300 games, 24974 / 125000 positions
  played 350 games, 29693 / 125000 positions
  played 400 games, 33513 / 125000 positions
  played 450 games, 37733 / 125000 positions
  played 500 games, 41773 / 125000 positions
  played 550 games, 46028 / 125000 positions
  played 600 games, 50307 / 125000 positions
  played 650 games, 54430 / 125000 positions
  played 700 games, 58252 / 125000 positions
  played 750 games, 61918 / 125000 positions
  played 800 games, 65975 / 125000 positions
  played 850 games, 70384 / 125000 positions
  played 900 games, 74226 / 125000 positions
  played 950 games, 78108 / 125000 positions
  played 1000 games, 81906 / 125000 positions
  played 1050 games, 85912 / 125000 positions
  played 1100 games, 89853 / 125000 positions
  played 1150 games, 94179 / 125000 positions
  played 1200 games, 98159 / 125000 positions
  played 1250 games, 102331 / 125000 positions
  played 1300 games, 106086 / 125000 positions
  played 1350 games, 110020 / 125000 positions
  played 1400 games, 114095 / 125000 positions
  played 1450 games, 117712 / 125000 positions
  played 1500 games, 122174 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/0056-v8-quiet-pv-1M-v7-labeller/artefacts.src/shard-7.bin
