gen-data-wdl: n=125000 out=/root/jass/jobs/results/ccx33-0212-genpar-seed/artefacts.src/sh-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=100020 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1673 / 125000 positions
  played 100 games, 3279 / 125000 positions
  played 150 games, 4861 / 125000 positions
  played 200 games, 6337 / 125000 positions
  played 250 games, 7896 / 125000 positions
  played 300 games, 9405 / 125000 positions
  played 350 games, 10961 / 125000 positions
  played 400 games, 12572 / 125000 positions
  played 450 games, 14234 / 125000 positions
  played 500 games, 15790 / 125000 positions
  played 550 games, 17361 / 125000 positions
  played 600 games, 18928 / 125000 positions
  played 650 games, 20524 / 125000 positions
  played 700 games, 22102 / 125000 positions
  played 750 games, 23664 / 125000 positions
  played 800 games, 25286 / 125000 positions
  played 850 games, 26984 / 125000 positions
  played 900 games, 28581 / 125000 positions
  played 950 games, 30080 / 125000 positions
  played 1000 games, 31539 / 125000 positions
  played 1050 games, 33137 / 125000 positions
  played 1100 games, 34843 / 125000 positions
  played 1150 games, 36407 / 125000 positions
  played 1200 games, 38167 / 125000 positions
  played 1250 games, 39742 / 125000 positions
  played 1300 games, 41318 / 125000 positions
  played 1350 games, 42880 / 125000 positions
  played 1400 games, 44376 / 125000 positions
  played 1450 games, 46012 / 125000 positions
  played 1500 games, 47654 / 125000 positions
  played 1550 games, 49100 / 125000 positions
  played 1600 games, 50668 / 125000 positions
  played 1650 games, 52272 / 125000 positions
  played 1700 games, 53888 / 125000 positions
  played 1750 games, 55377 / 125000 positions
  played 1800 games, 57002 / 125000 positions
  played 1850 games, 58653 / 125000 positions
  played 1900 games, 60180 / 125000 positions
  played 1950 games, 61755 / 125000 positions
  played 2000 games, 63249 / 125000 positions
  played 2050 games, 64892 / 125000 positions
  played 2100 games, 66449 / 125000 positions
  played 2150 games, 67980 / 125000 positions
  played 2200 games, 69542 / 125000 positions
  played 2250 games, 71172 / 125000 positions
  played 2300 games, 72743 / 125000 positions
  played 2350 games, 74371 / 125000 positions
  played 2400 games, 75910 / 125000 positions
  played 2450 games, 77578 / 125000 positions
  played 2500 games, 79220 / 125000 positions
  played 2550 games, 80749 / 125000 positions
  played 2600 games, 82233 / 125000 positions
  played 2650 games, 83892 / 125000 positions
  played 2700 games, 85554 / 125000 positions
  played 2750 games, 87082 / 125000 positions
  played 2800 games, 88542 / 125000 positions
  played 2850 games, 90126 / 125000 positions
  played 2900 games, 91679 / 125000 positions
  played 2950 games, 93332 / 125000 positions
  played 3000 games, 94930 / 125000 positions
  played 3050 games, 96458 / 125000 positions
  played 3100 games, 98062 / 125000 positions
  played 3150 games, 99746 / 125000 positions
  played 3200 games, 101411 / 125000 positions
  played 3250 games, 103069 / 125000 positions
  played 3300 games, 104749 / 125000 positions
  played 3350 games, 106281 / 125000 positions
  played 3400 games, 107896 / 125000 positions
  played 3450 games, 109511 / 125000 positions
  played 3500 games, 111075 / 125000 positions
  played 3550 games, 112633 / 125000 positions
  played 3600 games, 114193 / 125000 positions
  played 3650 games, 115865 / 125000 positions
  played 3700 games, 117377 / 125000 positions
  played 3750 games, 118960 / 125000 positions
  played 3800 games, 120617 / 125000 positions
  played 3850 games, 122215 / 125000 positions
  played 3900 games, 123846 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/ccx33-0212-genpar-seed/artefacts.src/sh-1.jnnw
