gen-data-wdl: n=125000 out=/root/jass/jobs/results/ccx33-0212-genpar-seed/artefacts.src/sh-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=200023 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1570 / 125000 positions
  played 100 games, 3080 / 125000 positions
  played 150 games, 4636 / 125000 positions
  played 200 games, 6186 / 125000 positions
  played 250 games, 7729 / 125000 positions
  played 300 games, 9213 / 125000 positions
  played 350 games, 10699 / 125000 positions
  played 400 games, 12387 / 125000 positions
  played 450 games, 13915 / 125000 positions
  played 500 games, 15609 / 125000 positions
  played 550 games, 17126 / 125000 positions
  played 600 games, 18730 / 125000 positions
  played 650 games, 20290 / 125000 positions
  played 700 games, 21856 / 125000 positions
  played 750 games, 23449 / 125000 positions
  played 800 games, 24948 / 125000 positions
  played 850 games, 26492 / 125000 positions
  played 900 games, 28002 / 125000 positions
  played 950 games, 29577 / 125000 positions
  played 1000 games, 31209 / 125000 positions
  played 1050 games, 32726 / 125000 positions
  played 1100 games, 34256 / 125000 positions
  played 1150 games, 35924 / 125000 positions
  played 1200 games, 37528 / 125000 positions
  played 1250 games, 39188 / 125000 positions
  played 1300 games, 40773 / 125000 positions
  played 1350 games, 42382 / 125000 positions
  played 1400 games, 43954 / 125000 positions
  played 1450 games, 45531 / 125000 positions
  played 1500 games, 47096 / 125000 positions
  played 1550 games, 48639 / 125000 positions
  played 1600 games, 50320 / 125000 positions
  played 1650 games, 51952 / 125000 positions
  played 1700 games, 53508 / 125000 positions
  played 1750 games, 54923 / 125000 positions
  played 1800 games, 56477 / 125000 positions
  played 1850 games, 57985 / 125000 positions
  played 1900 games, 59633 / 125000 positions
  played 1950 games, 61169 / 125000 positions
  played 2000 games, 62643 / 125000 positions
  played 2050 games, 64282 / 125000 positions
  played 2100 games, 65856 / 125000 positions
  played 2150 games, 67467 / 125000 positions
  played 2200 games, 69038 / 125000 positions
  played 2250 games, 70632 / 125000 positions
  played 2300 games, 72292 / 125000 positions
  played 2350 games, 73826 / 125000 positions
  played 2400 games, 75384 / 125000 positions
  played 2450 games, 77012 / 125000 positions
  played 2500 games, 78533 / 125000 positions
  played 2550 games, 80122 / 125000 positions
  played 2600 games, 81746 / 125000 positions
  played 2650 games, 83330 / 125000 positions
  played 2700 games, 84824 / 125000 positions
  played 2750 games, 86370 / 125000 positions
  played 2800 games, 87965 / 125000 positions
  played 2850 games, 89668 / 125000 positions
  played 2900 games, 91280 / 125000 positions
  played 2950 games, 92854 / 125000 positions
  played 3000 games, 94362 / 125000 positions
  played 3050 games, 95784 / 125000 positions
  played 3100 games, 97371 / 125000 positions
  played 3150 games, 99014 / 125000 positions
  played 3200 games, 100511 / 125000 positions
  played 3250 games, 102084 / 125000 positions
  played 3300 games, 103670 / 125000 positions
  played 3350 games, 105275 / 125000 positions
  played 3400 games, 106861 / 125000 positions
  played 3450 games, 108461 / 125000 positions
  played 3500 games, 110100 / 125000 positions
  played 3550 games, 111654 / 125000 positions
  played 3600 games, 113316 / 125000 positions
  played 3650 games, 114881 / 125000 positions
  played 3700 games, 116528 / 125000 positions
  played 3750 games, 118136 / 125000 positions
  played 3800 games, 119740 / 125000 positions
  played 3850 games, 121375 / 125000 positions
  played 3900 games, 122917 / 125000 positions
  played 3950 games, 124469 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/ccx33-0212-genpar-seed/artefacts.src/sh-2.jnnw
