gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp5.13.jnnw eval_depth=4 play_depth=4 max_plies=200 seed=78026203 nnue=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1469 / 18750 positions
  played 100 games, 2947 / 18750 positions
  played 150 games, 4304 / 18750 positions
  played 200 games, 5781 / 18750 positions
  played 250 games, 7334 / 18750 positions
  played 300 games, 8799 / 18750 positions
  played 350 games, 10346 / 18750 positions
  played 400 games, 11872 / 18750 positions
  played 450 games, 13501 / 18750 positions
  played 500 games, 15060 / 18750 positions
  played 550 games, 16675 / 18750 positions
  played 600 games, 18162 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp5.13.jnnw
