gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp2.6.jnnw eval_depth=4 play_depth=4 max_plies=200 seed=113258726 nnue=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1547 / 18750 positions
  played 100 games, 2931 / 18750 positions
  played 150 games, 4422 / 18750 positions
  played 200 games, 5905 / 18750 positions
  played 250 games, 7362 / 18750 positions
  played 300 games, 8864 / 18750 positions
  played 350 games, 10216 / 18750 positions
  played 400 games, 11778 / 18750 positions
  played 450 games, 13305 / 18750 positions
  played 500 games, 14743 / 18750 positions
  played 550 games, 16237 / 18750 positions
  played 600 games, 17709 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp2.6.jnnw
