gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp6.8.jnnw eval_depth=4 play_depth=4 max_plies=200 seed=250282933 nnue=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/gen5.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1472 / 18750 positions
  played 100 games, 3051 / 18750 positions
  played 150 games, 4579 / 18750 positions
  played 200 games, 6057 / 18750 positions
  played 250 games, 7571 / 18750 positions
  played 300 games, 9113 / 18750 positions
  played 350 games, 10536 / 18750 positions
  played 400 games, 12011 / 18750 positions
  played 450 games, 13515 / 18750 positions
  played 500 games, 14970 / 18750 positions
  played 550 games, 16595 / 18750 positions
  played 600 games, 18104 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp6.8.jnnw
