gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp0-7.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=12615 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1428 / 37500 positions
  played 100 games, 2751 / 37500 positions
  played 150 games, 4143 / 37500 positions
  played 200 games, 5537 / 37500 positions
  played 250 games, 6897 / 37500 positions
  played 300 games, 8192 / 37500 positions
  played 350 games, 9505 / 37500 positions
  played 400 games, 10819 / 37500 positions
  played 450 games, 12149 / 37500 positions
  played 500 games, 13510 / 37500 positions
  played 550 games, 14822 / 37500 positions
  played 600 games, 16175 / 37500 positions
  played 650 games, 17593 / 37500 positions
  played 700 games, 18961 / 37500 positions
  played 750 games, 20321 / 37500 positions
  played 800 games, 21697 / 37500 positions
  played 850 games, 22963 / 37500 positions
  played 900 games, 24291 / 37500 positions
  played 950 games, 25647 / 37500 positions
  played 1000 games, 26986 / 37500 positions
  played 1050 games, 28318 / 37500 positions
  played 1100 games, 29594 / 37500 positions
  played 1150 games, 30978 / 37500 positions
  played 1200 games, 32344 / 37500 positions
  played 1250 games, 33632 / 37500 positions
  played 1300 games, 35004 / 37500 positions
  played 1350 games, 36359 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp0-7.jnnw
