gen-data-wdl: n=75000 out=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp6-4.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=3386 nnue=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/gen5.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1401 / 75000 positions
  played 100 games, 2713 / 75000 positions
  played 150 games, 4102 / 75000 positions
  played 200 games, 5492 / 75000 positions
  played 250 games, 6937 / 75000 positions
  played 300 games, 8308 / 75000 positions
  played 350 games, 9669 / 75000 positions
  played 400 games, 11041 / 75000 positions
  played 450 games, 12399 / 75000 positions
  played 500 games, 13769 / 75000 positions
  played 550 games, 15171 / 75000 positions
  played 600 games, 16544 / 75000 positions
  played 650 games, 17910 / 75000 positions
  played 700 games, 19247 / 75000 positions
  played 750 games, 20692 / 75000 positions
  played 800 games, 22042 / 75000 positions
  played 850 games, 23387 / 75000 positions
  played 900 games, 24729 / 75000 positions
  played 950 games, 26102 / 75000 positions
  played 1000 games, 27540 / 75000 positions
  played 1050 games, 28877 / 75000 positions
  played 1100 games, 30294 / 75000 positions
  played 1150 games, 31713 / 75000 positions
  played 1200 games, 33126 / 75000 positions
  played 1250 games, 34577 / 75000 positions
  played 1300 games, 35974 / 75000 positions
  played 1350 games, 37275 / 75000 positions
  played 1400 games, 38678 / 75000 positions
  played 1450 games, 40073 / 75000 positions
  played 1500 games, 41421 / 75000 positions
  played 1550 games, 42791 / 75000 positions
  played 1600 games, 44205 / 75000 positions
  played 1650 games, 45579 / 75000 positions
  played 1700 games, 46991 / 75000 positions
  played 1750 games, 48377 / 75000 positions
  played 1800 games, 49731 / 75000 positions
  played 1850 games, 51115 / 75000 positions
  played 1900 games, 52476 / 75000 positions
  played 1950 games, 53950 / 75000 positions
  played 2000 games, 55340 / 75000 positions
  played 2050 games, 56708 / 75000 positions
  played 2100 games, 58020 / 75000 positions
  played 2150 games, 59404 / 75000 positions
  played 2200 games, 60846 / 75000 positions
  played 2250 games, 62251 / 75000 positions
  played 2300 games, 63736 / 75000 positions
  played 2350 games, 65133 / 75000 positions
  played 2400 games, 66530 / 75000 positions
  played 2450 games, 67845 / 75000 positions
  played 2500 games, 69251 / 75000 positions
  played 2550 games, 70663 / 75000 positions
  played 2600 games, 71996 / 75000 positions
  played 2650 games, 73448 / 75000 positions
  played 2700 games, 74823 / 75000 positions
wrote 75000 WDL records to /root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp6-4.jnnw
