gen-data-wdl: n=75000 out=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp5-8.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=3187 nnue=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1447 / 75000 positions
  played 100 games, 2763 / 75000 positions
  played 150 games, 4079 / 75000 positions
  played 200 games, 5452 / 75000 positions
  played 250 games, 6842 / 75000 positions
  played 300 games, 8256 / 75000 positions
  played 350 games, 9631 / 75000 positions
  played 400 games, 11022 / 75000 positions
  played 450 games, 12403 / 75000 positions
  played 500 games, 13782 / 75000 positions
  played 550 games, 15178 / 75000 positions
  played 600 games, 16557 / 75000 positions
  played 650 games, 17967 / 75000 positions
  played 700 games, 19316 / 75000 positions
  played 750 games, 20701 / 75000 positions
  played 800 games, 22105 / 75000 positions
  played 850 games, 23534 / 75000 positions
  played 900 games, 24908 / 75000 positions
  played 950 games, 26265 / 75000 positions
  played 1000 games, 27613 / 75000 positions
  played 1050 games, 29020 / 75000 positions
  played 1100 games, 30412 / 75000 positions
  played 1150 games, 31760 / 75000 positions
  played 1200 games, 33194 / 75000 positions
  played 1250 games, 34598 / 75000 positions
  played 1300 games, 36020 / 75000 positions
  played 1350 games, 37425 / 75000 positions
  played 1400 games, 38784 / 75000 positions
  played 1450 games, 40112 / 75000 positions
  played 1500 games, 41489 / 75000 positions
  played 1550 games, 42909 / 75000 positions
  played 1600 games, 44302 / 75000 positions
  played 1650 games, 45671 / 75000 positions
  played 1700 games, 47060 / 75000 positions
  played 1750 games, 48481 / 75000 positions
  played 1800 games, 49925 / 75000 positions
  played 1850 games, 51386 / 75000 positions
  played 1900 games, 52845 / 75000 positions
  played 1950 games, 54160 / 75000 positions
  played 2000 games, 55602 / 75000 positions
  played 2050 games, 56980 / 75000 positions
  played 2100 games, 58362 / 75000 positions
  played 2150 games, 59744 / 75000 positions
  played 2200 games, 61102 / 75000 positions
  played 2250 games, 62512 / 75000 positions
  played 2300 games, 63848 / 75000 positions
  played 2350 games, 65223 / 75000 positions
  played 2400 games, 66604 / 75000 positions
  played 2450 games, 67976 / 75000 positions
  played 2500 games, 69327 / 75000 positions
  played 2550 games, 70662 / 75000 positions
  played 2600 games, 72073 / 75000 positions
  played 2650 games, 73412 / 75000 positions
  played 2700 games, 74715 / 75000 positions
wrote 75000 WDL records to /root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp5-8.jnnw
