gen-data-wdl: n=18750 out=/root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/sp2-2.jnnw eval_depth=10 play_depth=8 max_plies=200 seed=22746 nnue=/root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=60
  played 50 games, 1731 / 18750 positions
  played 100 games, 3598 / 18750 positions
  played 150 games, 5409 / 18750 positions
  played 200 games, 7214 / 18750 positions
  played 250 games, 9017 / 18750 positions
  played 300 games, 10701 / 18750 positions
  played 350 games, 12523 / 18750 positions
  played 400 games, 14237 / 18750 positions
  played 450 games, 15974 / 18750 positions
  played 500 games, 17682 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/sp2-2.jnnw
