gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp3-7.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=32585 nnue=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1724 / 18750 positions
  played 100 games, 3571 / 18750 positions
  played 150 games, 5260 / 18750 positions
  played 200 games, 7005 / 18750 positions
  played 250 games, 8681 / 18750 positions
  played 300 games, 10312 / 18750 positions
  played 350 games, 12042 / 18750 positions
  played 400 games, 13672 / 18750 positions
  played 450 games, 15379 / 18750 positions
  played 500 games, 17057 / 18750 positions
  played 550 games, 18726 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp3-7.jnnw
