gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp3-12.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=1247 nnue=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1803 / 18750 positions
  played 100 games, 3537 / 18750 positions
  played 150 games, 5250 / 18750 positions
  played 200 games, 6973 / 18750 positions
  played 250 games, 8740 / 18750 positions
  played 300 games, 10454 / 18750 positions
  played 350 games, 12184 / 18750 positions
  played 400 games, 13858 / 18750 positions
  played 450 games, 15613 / 18750 positions
  played 500 games, 17244 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp3-12.jnnw
