gen-data-wdl: n=25000 out=/root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/iter7-shard2.bin eval_depth=6 play_depth=6 max_plies=200 seed=32702 nnue=/root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/h2-v6.jpat quiet_only=false pv_extract=0
  played 50 games, 1253 / 25000 positions
  played 100 games, 2654 / 25000 positions
  played 150 games, 3900 / 25000 positions
  played 200 games, 5295 / 25000 positions
  played 250 games, 6614 / 25000 positions
  played 300 games, 7882 / 25000 positions
  played 350 games, 9137 / 25000 positions
  played 400 games, 10582 / 25000 positions
  played 450 games, 11951 / 25000 positions
  played 500 games, 13218 / 25000 positions
  played 550 games, 14592 / 25000 positions
  played 600 games, 15905 / 25000 positions
  played 650 games, 17247 / 25000 positions
  played 700 games, 18494 / 25000 positions
  played 750 games, 19829 / 25000 positions
  played 800 games, 21180 / 25000 positions
  played 850 games, 22554 / 25000 positions
  played 900 games, 23960 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/iter7-shard2.bin
