gen-data-wdl: n=25000 out=/root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/iter7-shard7.bin eval_depth=6 play_depth=6 max_plies=200 seed=32707 nnue=/root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/h2-v6.jpat quiet_only=false pv_extract=0
  played 50 games, 1291 / 25000 positions
  played 100 games, 2616 / 25000 positions
  played 150 games, 3950 / 25000 positions
  played 200 games, 5347 / 25000 positions
  played 250 games, 6726 / 25000 positions
  played 300 games, 8118 / 25000 positions
  played 350 games, 9622 / 25000 positions
  played 400 games, 11014 / 25000 positions
  played 450 games, 12380 / 25000 positions
  played 500 games, 13662 / 25000 positions
  played 550 games, 14981 / 25000 positions
  played 600 games, 16252 / 25000 positions
  played 650 games, 17536 / 25000 positions
  played 700 games, 18789 / 25000 positions
  played 750 games, 20237 / 25000 positions
  played 800 games, 21649 / 25000 positions
  played 850 games, 22907 / 25000 positions
  played 900 games, 24245 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/iter7-shard7.bin
