gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp1-9.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=6624 nnue=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/g0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1575 / 18750 positions
  played 100 games, 3062 / 18750 positions
  played 150 games, 4612 / 18750 positions
  played 200 games, 6117 / 18750 positions
  played 250 games, 7579 / 18750 positions
  played 300 games, 9328 / 18750 positions
  played 350 games, 10921 / 18750 positions
  played 400 games, 12495 / 18750 positions
  played 450 games, 14050 / 18750 positions
  played 500 games, 15645 / 18750 positions
  played 550 games, 17091 / 18750 positions
  played 600 games, 18537 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp1-9.jnnw
