gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp3-10.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=20269 nnue=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/g2.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1501 / 18750 positions
  played 100 games, 3069 / 18750 positions
  played 150 games, 4648 / 18750 positions
  played 200 games, 6242 / 18750 positions
  played 250 games, 7729 / 18750 positions
  played 300 games, 9389 / 18750 positions
  played 350 games, 10816 / 18750 positions
  played 400 games, 12332 / 18750 positions
  played 450 games, 13829 / 18750 positions
  played 500 games, 15448 / 18750 positions
  played 550 games, 17056 / 18750 positions
  played 600 games, 18625 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp3-10.jnnw
