gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp1-10.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=21675 nnue=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/g0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1500 / 18750 positions
  played 100 games, 2986 / 18750 positions
  played 150 games, 4552 / 18750 positions
  played 200 games, 6143 / 18750 positions
  played 250 games, 7804 / 18750 positions
  played 300 games, 9213 / 18750 positions
  played 350 games, 10841 / 18750 positions
  played 400 games, 12454 / 18750 positions
  played 450 games, 14048 / 18750 positions
  played 500 games, 15597 / 18750 positions
  played 550 games, 17101 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp1-10.jnnw
