gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp2-6.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=30483 nnue=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/g1.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1604 / 18750 positions
  played 100 games, 3049 / 18750 positions
  played 150 games, 4667 / 18750 positions
  played 200 games, 6244 / 18750 positions
  played 250 games, 7799 / 18750 positions
  played 300 games, 9331 / 18750 positions
  played 350 games, 10990 / 18750 positions
  played 400 games, 12456 / 18750 positions
  played 450 games, 13964 / 18750 positions
  played 500 games, 15526 / 18750 positions
  played 550 games, 17017 / 18750 positions
  played 600 games, 18516 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp2-6.jnnw
