gen-data-wdl: n=37500 out=/root/jass/jobs/results/0204-wdl-loop-continue-mt30/artefacts.src/sp4-6.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=406 nnue=/root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1882 / 37500 positions
  played 100 games, 3675 / 37500 positions
  played 150 games, 5480 / 37500 positions
  played 200 games, 7290 / 37500 positions
  played 250 games, 9189 / 37500 positions
  played 300 games, 10932 / 37500 positions
  played 350 games, 12744 / 37500 positions
  played 400 games, 14622 / 37500 positions
  played 450 games, 16463 / 37500 positions
  played 500 games, 18219 / 37500 positions
  played 550 games, 19943 / 37500 positions
  played 600 games, 21762 / 37500 positions
  played 650 games, 23553 / 37500 positions
  played 700 games, 25399 / 37500 positions
  played 750 games, 27298 / 37500 positions
  played 800 games, 29065 / 37500 positions
  played 850 games, 30822 / 37500 positions
  played 900 games, 32678 / 37500 positions
  played 950 games, 34460 / 37500 positions
  played 1000 games, 36333 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/0204-wdl-loop-continue-mt30/artefacts.src/sp4-6.jnnw
