gen-data-wdl: n=31250 out=/root/jass/jobs/results/home-0003-selfplay-gen/artefacts.src/sp-14.jnnw eval_depth=8 play_depth=6 max_plies=200 seed=177562 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1570 / 31250 positions
  played 100 games, 3059 / 31250 positions
  played 150 games, 4631 / 31250 positions
  played 200 games, 6332 / 31250 positions
  played 250 games, 7862 / 31250 positions
  played 300 games, 9383 / 31250 positions
  played 350 games, 10931 / 31250 positions
  played 400 games, 12368 / 31250 positions
  played 450 games, 13929 / 31250 positions
  played 500 games, 15482 / 31250 positions
  played 550 games, 17003 / 31250 positions
  played 600 games, 18515 / 31250 positions
  played 650 games, 20025 / 31250 positions
  played 700 games, 21501 / 31250 positions
  played 750 games, 23124 / 31250 positions
  played 800 games, 24619 / 31250 positions
  played 850 games, 26130 / 31250 positions
  played 900 games, 27746 / 31250 positions
  played 950 games, 29391 / 31250 positions
  played 1000 games, 30984 / 31250 positions
wrote 31250 WDL records to /root/jass/jobs/results/home-0003-selfplay-gen/artefacts.src/sp-14.jnnw
