gen-data-wdl: n=62500 out=/root/jass/jobs/results/cpx62-0211-cumulative-loop-1M/artefacts.src/sp1-16.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=18786 nnue=/root/jass/jobs/results/cpx62-0211-cumulative-loop-1M/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1556 / 62500 positions
  played 100 games, 3099 / 62500 positions
  played 150 games, 4666 / 62500 positions
  played 200 games, 6211 / 62500 positions
  played 250 games, 7751 / 62500 positions
  played 300 games, 9304 / 62500 positions
  played 350 games, 10781 / 62500 positions
  played 400 games, 12365 / 62500 positions
  played 450 games, 13900 / 62500 positions
  played 500 games, 15509 / 62500 positions
  played 550 games, 16985 / 62500 positions
  played 600 games, 18614 / 62500 positions
  played 650 games, 20147 / 62500 positions
  played 700 games, 21703 / 62500 positions
  played 750 games, 23213 / 62500 positions
  played 800 games, 24822 / 62500 positions
  played 850 games, 26334 / 62500 positions
  played 900 games, 27808 / 62500 positions
  played 950 games, 29325 / 62500 positions
  played 1000 games, 30855 / 62500 positions
  played 1050 games, 32332 / 62500 positions
  played 1100 games, 33885 / 62500 positions
  played 1150 games, 35350 / 62500 positions
  played 1200 games, 36938 / 62500 positions
  played 1250 games, 38499 / 62500 positions
  played 1300 games, 40109 / 62500 positions
  played 1350 games, 41580 / 62500 positions
  played 1400 games, 43126 / 62500 positions
  played 1450 games, 44639 / 62500 positions
  played 1500 games, 46211 / 62500 positions
  played 1550 games, 47800 / 62500 positions
  played 1600 games, 49409 / 62500 positions
  played 1650 games, 50997 / 62500 positions
  played 1700 games, 52515 / 62500 positions
  played 1750 games, 54044 / 62500 positions
  played 1800 games, 55517 / 62500 positions
  played 1850 games, 57087 / 62500 positions
  played 1900 games, 58790 / 62500 positions
  played 1950 games, 60311 / 62500 positions
  played 2000 games, 61869 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/cpx62-0211-cumulative-loop-1M/artefacts.src/sp1-16.jnnw
