gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp0-3.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=22747 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1525 / 25000 positions
  played 100 games, 3053 / 25000 positions
  played 150 games, 4566 / 25000 positions
  played 200 games, 6152 / 25000 positions
  played 250 games, 7836 / 25000 positions
  played 300 games, 9322 / 25000 positions
  played 350 games, 10765 / 25000 positions
  played 400 games, 12340 / 25000 positions
  played 450 games, 13938 / 25000 positions
  played 500 games, 15440 / 25000 positions
  played 550 games, 16976 / 25000 positions
  played 600 games, 18499 / 25000 positions
  played 650 games, 20093 / 25000 positions
  played 700 games, 21652 / 25000 positions
  played 750 games, 23124 / 25000 positions
  played 800 games, 24705 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp0-3.jnnw
