gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp4-4.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=27588 nnue=/root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1515 / 37500 positions
  played 100 games, 3047 / 37500 positions
  played 150 games, 4545 / 37500 positions
  played 200 games, 6105 / 37500 positions
  played 250 games, 7617 / 37500 positions
  played 300 games, 9185 / 37500 positions
  played 350 games, 10621 / 37500 positions
  played 400 games, 12196 / 37500 positions
  played 450 games, 13647 / 37500 positions
  played 500 games, 15185 / 37500 positions
  played 550 games, 16726 / 37500 positions
  played 600 games, 18195 / 37500 positions
  played 650 games, 19720 / 37500 positions
  played 700 games, 21246 / 37500 positions
  played 750 games, 22840 / 37500 positions
  played 800 games, 24460 / 37500 positions
  played 850 games, 26007 / 37500 positions
  played 900 games, 27594 / 37500 positions
  played 950 games, 29106 / 37500 positions
  played 1000 games, 30686 / 37500 positions
  played 1050 games, 32210 / 37500 positions
  played 1100 games, 33804 / 37500 positions
  played 1150 games, 35286 / 37500 positions
  played 1200 games, 36976 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp4-4.jnnw
