gen-data-wdl: n=25000 out=/root/jass/jobs/results/0183-selfdistill-iterate/artefacts.src/sp2-7.jnnw eval_depth=12 play_depth=4 max_plies=200 seed=208 nnue=/root/jass/jobs/results/0183-selfdistill-iterate/artefacts.src/v1.pjtw quiet_only=false pv_extract=0
  played 50 games, 1470 / 25000 positions
  played 100 games, 3025 / 25000 positions
  played 150 games, 4613 / 25000 positions
  played 200 games, 6314 / 25000 positions
  played 250 games, 7832 / 25000 positions
  played 300 games, 9287 / 25000 positions
  played 350 games, 10822 / 25000 positions
  played 400 games, 12357 / 25000 positions
  played 450 games, 13846 / 25000 positions
  played 500 games, 15477 / 25000 positions
  played 550 games, 16992 / 25000 positions
  played 600 games, 18596 / 25000 positions
  played 650 games, 20131 / 25000 positions
  played 700 games, 21724 / 25000 positions
  played 750 games, 23265 / 25000 positions
  played 800 games, 24782 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0183-selfdistill-iterate/artefacts.src/sp2-7.jnnw
