gen-data-wdl: n=37500 out=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp6-9.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=26792 nnue=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/gen5.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1630 / 37500 positions
  played 100 games, 3258 / 37500 positions
  played 150 games, 4858 / 37500 positions
  played 200 games, 6503 / 37500 positions
  played 250 games, 8126 / 37500 positions
  played 300 games, 9671 / 37500 positions
  played 350 games, 11170 / 37500 positions
  played 400 games, 12789 / 37500 positions
  played 450 games, 14408 / 37500 positions
  played 500 games, 15863 / 37500 positions
  played 550 games, 17354 / 37500 positions
  played 600 games, 18909 / 37500 positions
  played 650 games, 20425 / 37500 positions
  played 700 games, 21873 / 37500 positions
  played 750 games, 23467 / 37500 positions
  played 800 games, 25072 / 37500 positions
  played 850 games, 26575 / 37500 positions
  played 900 games, 28172 / 37500 positions
  played 950 games, 29774 / 37500 positions
  played 1000 games, 31478 / 37500 positions
  played 1050 games, 33066 / 37500 positions
  played 1100 games, 34667 / 37500 positions
  played 1150 games, 36254 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp6-9.jnnw
