gen-data-wdl: n=37500 out=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp8-12.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=30998 nnue=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/gen7.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1655 / 37500 positions
  played 100 games, 3290 / 37500 positions
  played 150 games, 4919 / 37500 positions
  played 200 games, 6449 / 37500 positions
  played 250 games, 8083 / 37500 positions
  played 300 games, 9680 / 37500 positions
  played 350 games, 11303 / 37500 positions
  played 400 games, 12771 / 37500 positions
  played 450 games, 14321 / 37500 positions
  played 500 games, 15845 / 37500 positions
  played 550 games, 17415 / 37500 positions
  played 600 games, 18940 / 37500 positions
  played 650 games, 20561 / 37500 positions
  played 700 games, 22131 / 37500 positions
  played 750 games, 23793 / 37500 positions
  played 800 games, 25420 / 37500 positions
  played 850 games, 26897 / 37500 positions
  played 900 games, 28630 / 37500 positions
  played 950 games, 30214 / 37500 positions
  played 1000 games, 31851 / 37500 positions
  played 1050 games, 33452 / 37500 positions
  played 1100 games, 35024 / 37500 positions
  played 1150 games, 36633 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp8-12.jnnw
