gen-data-wdl: n=37500 out=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp7-7.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=21760 nnue=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/gen6.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1649 / 37500 positions
  played 100 games, 3150 / 37500 positions
  played 150 games, 4735 / 37500 positions
  played 200 games, 6322 / 37500 positions
  played 250 games, 7802 / 37500 positions
  played 300 games, 9395 / 37500 positions
  played 350 games, 10850 / 37500 positions
  played 400 games, 12404 / 37500 positions
  played 450 games, 13915 / 37500 positions
  played 500 games, 15468 / 37500 positions
  played 550 games, 17009 / 37500 positions
  played 600 games, 18617 / 37500 positions
  played 650 games, 20174 / 37500 positions
  played 700 games, 21636 / 37500 positions
  played 750 games, 23189 / 37500 positions
  played 800 games, 24651 / 37500 positions
  played 850 games, 26245 / 37500 positions
  played 900 games, 27779 / 37500 positions
  played 950 games, 29416 / 37500 positions
  played 1000 games, 30974 / 37500 positions
  played 1050 games, 32586 / 37500 positions
  played 1100 games, 34123 / 37500 positions
  played 1150 games, 35713 / 37500 positions
  played 1200 games, 37274 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp7-7.jnnw
