gen-data-wdl: n=37500 out=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp6-14.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=22940 nnue=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/gen5.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1678 / 37500 positions
  played 100 games, 3316 / 37500 positions
  played 150 games, 4913 / 37500 positions
  played 200 games, 6611 / 37500 positions
  played 250 games, 8135 / 37500 positions
  played 300 games, 9734 / 37500 positions
  played 350 games, 11263 / 37500 positions
  played 400 games, 12828 / 37500 positions
  played 450 games, 14453 / 37500 positions
  played 500 games, 16102 / 37500 positions
  played 550 games, 17631 / 37500 positions
  played 600 games, 19344 / 37500 positions
  played 650 games, 20899 / 37500 positions
  played 700 games, 22506 / 37500 positions
  played 750 games, 24117 / 37500 positions
  played 800 games, 25784 / 37500 positions
  played 850 games, 27409 / 37500 positions
  played 900 games, 28943 / 37500 positions
  played 950 games, 30501 / 37500 positions
  played 1000 games, 32083 / 37500 positions
  played 1050 games, 33590 / 37500 positions
  played 1100 games, 35196 / 37500 positions
  played 1150 games, 36738 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp6-14.jnnw
