gen-data-wdl: n=37500 out=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp4-4.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=2999 nnue=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1539 / 37500 positions
  played 100 games, 3113 / 37500 positions
  played 150 games, 4678 / 37500 positions
  played 200 games, 6140 / 37500 positions
  played 250 games, 7627 / 37500 positions
  played 300 games, 9147 / 37500 positions
  played 350 games, 10787 / 37500 positions
  played 400 games, 12301 / 37500 positions
  played 450 games, 13883 / 37500 positions
  played 500 games, 15451 / 37500 positions
  played 550 games, 16988 / 37500 positions
  played 600 games, 18510 / 37500 positions
  played 650 games, 20077 / 37500 positions
  played 700 games, 21660 / 37500 positions
  played 750 games, 23257 / 37500 positions
  played 800 games, 24843 / 37500 positions
  played 850 games, 26420 / 37500 positions
  played 900 games, 27976 / 37500 positions
  played 950 games, 29574 / 37500 positions
  played 1000 games, 31239 / 37500 positions
  played 1050 games, 32783 / 37500 positions
  played 1100 games, 34342 / 37500 positions
  played 1150 games, 35980 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp4-4.jnnw
