gen-data-wdl: n=75000 out=/root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp8-7.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=18934 nnue=/root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/gen7.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1667 / 75000 positions
  played 100 games, 3353 / 75000 positions
  played 150 games, 5028 / 75000 positions
  played 200 games, 6723 / 75000 positions
  played 250 games, 8296 / 75000 positions
  played 300 games, 9908 / 75000 positions
  played 350 games, 11522 / 75000 positions
  played 400 games, 13135 / 75000 positions
  played 450 games, 14661 / 75000 positions
  played 500 games, 16340 / 75000 positions
  played 550 games, 17978 / 75000 positions
  played 600 games, 19546 / 75000 positions
  played 650 games, 21126 / 75000 positions
  played 700 games, 22705 / 75000 positions
  played 750 games, 24238 / 75000 positions
  played 800 games, 25865 / 75000 positions
  played 850 games, 27407 / 75000 positions
  played 900 games, 28946 / 75000 positions
  played 950 games, 30565 / 75000 positions
  played 1000 games, 32192 / 75000 positions
  played 1050 games, 33927 / 75000 positions
  played 1100 games, 35473 / 75000 positions
  played 1150 games, 37106 / 75000 positions
  played 1200 games, 38771 / 75000 positions
  played 1250 games, 40378 / 75000 positions
  played 1300 games, 41975 / 75000 positions
  played 1350 games, 43646 / 75000 positions
  played 1400 games, 45207 / 75000 positions
  played 1450 games, 46869 / 75000 positions
  played 1500 games, 48507 / 75000 positions
  played 1550 games, 50129 / 75000 positions
  played 1600 games, 51848 / 75000 positions
  played 1650 games, 53467 / 75000 positions
  played 1700 games, 54945 / 75000 positions
  played 1750 games, 56496 / 75000 positions
  played 1800 games, 58030 / 75000 positions
  played 1850 games, 59687 / 75000 positions
  played 1900 games, 61357 / 75000 positions
  played 1950 games, 62961 / 75000 positions
  played 2000 games, 64593 / 75000 positions
  played 2050 games, 66250 / 75000 positions
  played 2100 games, 67837 / 75000 positions
  played 2150 games, 69478 / 75000 positions
  played 2200 games, 71134 / 75000 positions
  played 2250 games, 72765 / 75000 positions
  played 2300 games, 74463 / 75000 positions
wrote 75000 WDL records to /root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp8-7.jnnw
