gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp0-3.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=13687 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1530 / 37500 positions
  played 100 games, 3099 / 37500 positions
  played 150 games, 4549 / 37500 positions
  played 200 games, 6203 / 37500 positions
  played 250 games, 7808 / 37500 positions
  played 300 games, 9467 / 37500 positions
  played 350 games, 11090 / 37500 positions
  played 400 games, 12661 / 37500 positions
  played 450 games, 14277 / 37500 positions
  played 500 games, 15894 / 37500 positions
  played 550 games, 17388 / 37500 positions
  played 600 games, 18905 / 37500 positions
  played 650 games, 20575 / 37500 positions
  played 700 games, 22140 / 37500 positions
  played 750 games, 23803 / 37500 positions
  played 800 games, 25503 / 37500 positions
  played 850 games, 27220 / 37500 positions
  played 900 games, 28816 / 37500 positions
  played 950 games, 30382 / 37500 positions
  played 1000 games, 31940 / 37500 positions
  played 1050 games, 33422 / 37500 positions
  played 1100 games, 34976 / 37500 positions
  played 1150 games, 36658 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp0-3.jnnw
