gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp8-8.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=25874 nnue=/root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/gen7.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1484 / 37500 positions
  played 100 games, 3001 / 37500 positions
  played 150 games, 4626 / 37500 positions
  played 200 games, 6267 / 37500 positions
  played 250 games, 7808 / 37500 positions
  played 300 games, 9411 / 37500 positions
  played 350 games, 11047 / 37500 positions
  played 400 games, 12642 / 37500 positions
  played 450 games, 14251 / 37500 positions
  played 500 games, 15816 / 37500 positions
  played 550 games, 17480 / 37500 positions
  played 600 games, 19040 / 37500 positions
  played 650 games, 20627 / 37500 positions
  played 700 games, 22216 / 37500 positions
  played 750 games, 23804 / 37500 positions
  played 800 games, 25374 / 37500 positions
  played 850 games, 26989 / 37500 positions
  played 900 games, 28455 / 37500 positions
  played 950 games, 30016 / 37500 positions
  played 1000 games, 31506 / 37500 positions
  played 1050 games, 33144 / 37500 positions
  played 1100 games, 34703 / 37500 positions
  played 1150 games, 36342 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp8-8.jnnw
