gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp0-4.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=12593 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1572 / 25000 positions
  played 100 games, 3141 / 25000 positions
  played 150 games, 4594 / 25000 positions
  played 200 games, 6113 / 25000 positions
  played 250 games, 7712 / 25000 positions
  played 300 games, 9383 / 25000 positions
  played 350 games, 10983 / 25000 positions
  played 400 games, 12629 / 25000 positions
  played 450 games, 14187 / 25000 positions
  played 500 games, 15748 / 25000 positions
  played 550 games, 17217 / 25000 positions
  played 600 games, 18893 / 25000 positions
  played 650 games, 20494 / 25000 positions
  played 700 games, 22134 / 25000 positions
  played 750 games, 23726 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp0-4.jnnw
