gen-data-wdl: n=93750 out=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp1-11.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=18067 nnue=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1634 / 93750 positions
  played 100 games, 3194 / 93750 positions
  played 150 games, 4777 / 93750 positions
  played 200 games, 6252 / 93750 positions
  played 250 games, 7776 / 93750 positions
  played 300 games, 9227 / 93750 positions
  played 350 games, 10783 / 93750 positions
  played 400 games, 12284 / 93750 positions
  played 450 games, 13854 / 93750 positions
  played 500 games, 15369 / 93750 positions
  played 550 games, 16955 / 93750 positions
  played 600 games, 18541 / 93750 positions
  played 650 games, 20106 / 93750 positions
  played 700 games, 21736 / 93750 positions
  played 750 games, 23229 / 93750 positions
  played 800 games, 24759 / 93750 positions
  played 850 games, 26372 / 93750 positions
  played 900 games, 27834 / 93750 positions
  played 950 games, 29409 / 93750 positions
  played 1000 games, 30918 / 93750 positions
  played 1050 games, 32429 / 93750 positions
  played 1100 games, 33932 / 93750 positions
  played 1150 games, 35434 / 93750 positions
  played 1200 games, 36906 / 93750 positions
  played 1250 games, 38504 / 93750 positions
  played 1300 games, 40025 / 93750 positions
  played 1350 games, 41665 / 93750 positions
  played 1400 games, 43212 / 93750 positions
  played 1450 games, 44800 / 93750 positions
  played 1500 games, 46126 / 93750 positions
  played 1550 games, 47654 / 93750 positions
  played 1600 games, 49173 / 93750 positions
  played 1650 games, 50826 / 93750 positions
  played 1700 games, 52458 / 93750 positions
  played 1750 games, 53965 / 93750 positions
  played 1800 games, 55628 / 93750 positions
  played 1850 games, 57114 / 93750 positions
  played 1900 games, 58630 / 93750 positions
  played 1950 games, 60175 / 93750 positions
  played 2000 games, 61666 / 93750 positions
  played 2050 games, 63109 / 93750 positions
  played 2100 games, 64686 / 93750 positions
  played 2150 games, 66149 / 93750 positions
  played 2200 games, 67649 / 93750 positions
  played 2250 games, 69175 / 93750 positions
  played 2300 games, 70748 / 93750 positions
  played 2350 games, 72246 / 93750 positions
  played 2400 games, 73789 / 93750 positions
  played 2450 games, 75295 / 93750 positions
  played 2500 games, 76767 / 93750 positions
  played 2550 games, 78309 / 93750 positions
  played 2600 games, 79939 / 93750 positions
  played 2650 games, 81632 / 93750 positions
  played 2700 games, 83232 / 93750 positions
  played 2750 games, 84844 / 93750 positions
  played 2800 games, 86480 / 93750 positions
  played 2850 games, 88066 / 93750 positions
  played 2900 games, 89586 / 93750 positions
  played 2950 games, 91124 / 93750 positions
  played 3000 games, 92671 / 93750 positions
wrote 93750 WDL records to /root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp1-11.jnnw
