gen-data-wdl: n=25000 out=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp0-10.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=693 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1594 / 25000 positions
  played 100 games, 3135 / 25000 positions
  played 150 games, 4624 / 25000 positions
  played 200 games, 6193 / 25000 positions
  played 250 games, 7704 / 25000 positions
  played 300 games, 9314 / 25000 positions
  played 350 games, 10941 / 25000 positions
  played 400 games, 12428 / 25000 positions
  played 450 games, 14041 / 25000 positions
  played 500 games, 15603 / 25000 positions
  played 550 games, 17137 / 25000 positions
  played 600 games, 18685 / 25000 positions
  played 650 games, 20313 / 25000 positions
  played 700 games, 21891 / 25000 positions
  played 750 games, 23497 / 25000 positions
  played 800 games, 25000 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp0-10.jnnw
