gen-data-wdl: n=93750 out=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp4-3.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=14667 nnue=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1595 / 93750 positions
  played 100 games, 3226 / 93750 positions
  played 150 games, 4760 / 93750 positions
  played 200 games, 6198 / 93750 positions
  played 250 games, 7756 / 93750 positions
  played 300 games, 9264 / 93750 positions
  played 350 games, 10845 / 93750 positions
  played 400 games, 12396 / 93750 positions
  played 450 games, 13936 / 93750 positions
  played 500 games, 15680 / 93750 positions
  played 550 games, 17271 / 93750 positions
  played 600 games, 18831 / 93750 positions
  played 650 games, 20399 / 93750 positions
  played 700 games, 21997 / 93750 positions
  played 750 games, 23591 / 93750 positions
  played 800 games, 25172 / 93750 positions
  played 850 games, 26790 / 93750 positions
  played 900 games, 28431 / 93750 positions
  played 950 games, 30035 / 93750 positions
  played 1000 games, 31613 / 93750 positions
  played 1050 games, 33127 / 93750 positions
  played 1100 games, 34771 / 93750 positions
  played 1150 games, 36379 / 93750 positions
  played 1200 games, 37954 / 93750 positions
  played 1250 games, 39687 / 93750 positions
  played 1300 games, 41300 / 93750 positions
  played 1350 games, 42922 / 93750 positions
  played 1400 games, 44505 / 93750 positions
  played 1450 games, 46146 / 93750 positions
  played 1500 games, 47861 / 93750 positions
  played 1550 games, 49472 / 93750 positions
  played 1600 games, 50970 / 93750 positions
  played 1650 games, 52455 / 93750 positions
  played 1700 games, 53990 / 93750 positions
  played 1750 games, 55569 / 93750 positions
  played 1800 games, 57078 / 93750 positions
  played 1850 games, 58680 / 93750 positions
  played 1900 games, 60253 / 93750 positions
  played 1950 games, 61905 / 93750 positions
  played 2000 games, 63577 / 93750 positions
  played 2050 games, 65093 / 93750 positions
  played 2100 games, 66683 / 93750 positions
  played 2150 games, 68227 / 93750 positions
  played 2200 games, 69761 / 93750 positions
  played 2250 games, 71353 / 93750 positions
  played 2300 games, 72877 / 93750 positions
  played 2350 games, 74493 / 93750 positions
  played 2400 games, 76081 / 93750 positions
  played 2450 games, 77626 / 93750 positions
  played 2500 games, 79143 / 93750 positions
  played 2550 games, 80699 / 93750 positions
  played 2600 games, 82294 / 93750 positions
  played 2650 games, 83887 / 93750 positions
  played 2700 games, 85413 / 93750 positions
  played 2750 games, 87033 / 93750 positions
  played 2800 games, 88565 / 93750 positions
  played 2850 games, 90153 / 93750 positions
  played 2900 games, 91711 / 93750 positions
  played 2950 games, 93257 / 93750 positions
wrote 93750 WDL records to /root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp4-3.jnnw
