gen-data-wdl: n=93750 out=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp3-7.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=4235 nnue=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1560 / 93750 positions
  played 100 games, 3184 / 93750 positions
  played 150 games, 4685 / 93750 positions
  played 200 games, 6283 / 93750 positions
  played 250 games, 7764 / 93750 positions
  played 300 games, 9297 / 93750 positions
  played 350 games, 10876 / 93750 positions
  played 400 games, 12441 / 93750 positions
  played 450 games, 14001 / 93750 positions
  played 500 games, 15562 / 93750 positions
  played 550 games, 17152 / 93750 positions
  played 600 games, 18808 / 93750 positions
  played 650 games, 20338 / 93750 positions
  played 700 games, 22002 / 93750 positions
  played 750 games, 23537 / 93750 positions
  played 800 games, 24943 / 93750 positions
  played 850 games, 26573 / 93750 positions
  played 900 games, 28084 / 93750 positions
  played 950 games, 29743 / 93750 positions
  played 1000 games, 31333 / 93750 positions
  played 1050 games, 32931 / 93750 positions
  played 1100 games, 34487 / 93750 positions
  played 1150 games, 35949 / 93750 positions
  played 1200 games, 37393 / 93750 positions
  played 1250 games, 38990 / 93750 positions
  played 1300 games, 40508 / 93750 positions
  played 1350 games, 42053 / 93750 positions
  played 1400 games, 43586 / 93750 positions
  played 1450 games, 45086 / 93750 positions
  played 1500 games, 46519 / 93750 positions
  played 1550 games, 48131 / 93750 positions
  played 1600 games, 49615 / 93750 positions
  played 1650 games, 51220 / 93750 positions
  played 1700 games, 52788 / 93750 positions
  played 1750 games, 54366 / 93750 positions
  played 1800 games, 55913 / 93750 positions
  played 1850 games, 57465 / 93750 positions
  played 1900 games, 59128 / 93750 positions
  played 1950 games, 60676 / 93750 positions
  played 2000 games, 62154 / 93750 positions
  played 2050 games, 63790 / 93750 positions
  played 2100 games, 65381 / 93750 positions
  played 2150 games, 66941 / 93750 positions
  played 2200 games, 68458 / 93750 positions
  played 2250 games, 70015 / 93750 positions
  played 2300 games, 71603 / 93750 positions
  played 2350 games, 73300 / 93750 positions
  played 2400 games, 74858 / 93750 positions
  played 2450 games, 76471 / 93750 positions
  played 2500 games, 77971 / 93750 positions
  played 2550 games, 79554 / 93750 positions
  played 2600 games, 81148 / 93750 positions
  played 2650 games, 82627 / 93750 positions
  played 2700 games, 84164 / 93750 positions
  played 2750 games, 85623 / 93750 positions
  played 2800 games, 87191 / 93750 positions
  played 2850 games, 88754 / 93750 positions
  played 2900 games, 90260 / 93750 positions
  played 2950 games, 91785 / 93750 positions
  played 3000 games, 93390 / 93750 positions
wrote 93750 WDL records to /root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp3-7.jnnw
