gen-data-wdl: n=125000 out=/root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/sp-6.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=106 nnue=/root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/champ.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 2033 / 125000 positions
  played 100 games, 3861 / 125000 positions
  played 150 games, 5856 / 125000 positions
  played 200 games, 7769 / 125000 positions
  played 250 games, 9564 / 125000 positions
  played 300 games, 11409 / 125000 positions
  played 350 games, 13328 / 125000 positions
  played 400 games, 15270 / 125000 positions
  played 450 games, 17146 / 125000 positions
  played 500 games, 19208 / 125000 positions
  played 550 games, 21260 / 125000 positions
  played 600 games, 23175 / 125000 positions
  played 650 games, 25097 / 125000 positions
  played 700 games, 27041 / 125000 positions
  played 750 games, 28986 / 125000 positions
  played 800 games, 30871 / 125000 positions
  played 850 games, 32916 / 125000 positions
  played 900 games, 34648 / 125000 positions
  played 950 games, 36559 / 125000 positions
  played 1000 games, 38448 / 125000 positions
  played 1050 games, 40402 / 125000 positions
  played 1100 games, 42328 / 125000 positions
  played 1150 games, 44027 / 125000 positions
  played 1200 games, 45801 / 125000 positions
  played 1250 games, 47596 / 125000 positions
  played 1300 games, 49583 / 125000 positions
  played 1350 games, 51323 / 125000 positions
  played 1400 games, 53236 / 125000 positions
  played 1450 games, 55260 / 125000 positions
  played 1500 games, 57065 / 125000 positions
  played 1550 games, 59114 / 125000 positions
  played 1600 games, 61157 / 125000 positions
  played 1650 games, 63036 / 125000 positions
  played 1700 games, 64913 / 125000 positions
  played 1750 games, 66858 / 125000 positions
  played 1800 games, 68627 / 125000 positions
  played 1850 games, 70492 / 125000 positions
  played 1900 games, 72318 / 125000 positions
  played 1950 games, 74172 / 125000 positions
  played 2000 games, 76097 / 125000 positions
  played 2050 games, 78093 / 125000 positions
  played 2100 games, 80072 / 125000 positions
  played 2150 games, 81972 / 125000 positions
  played 2200 games, 83863 / 125000 positions
  played 2250 games, 85833 / 125000 positions
  played 2300 games, 87781 / 125000 positions
  played 2350 games, 89635 / 125000 positions
  played 2400 games, 91563 / 125000 positions
  played 2450 games, 93616 / 125000 positions
  played 2500 games, 95571 / 125000 positions
  played 2550 games, 97384 / 125000 positions
  played 2600 games, 99197 / 125000 positions
  played 2650 games, 101069 / 125000 positions
  played 2700 games, 102829 / 125000 positions
  played 2750 games, 104815 / 125000 positions
  played 2800 games, 106725 / 125000 positions
  played 2850 games, 108599 / 125000 positions
  played 2900 games, 110585 / 125000 positions
  played 2950 games, 112473 / 125000 positions
  played 3000 games, 114427 / 125000 positions
  played 3050 games, 116276 / 125000 positions
  played 3100 games, 118130 / 125000 positions
  played 3150 games, 120101 / 125000 positions
  played 3200 games, 122085 / 125000 positions
  played 3250 games, 123939 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/sp-6.jnnw
