gen-data-wdl: n=125000 out=/root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/sp-5.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=105 nnue=/root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/champ.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1964 / 125000 positions
  played 100 games, 3817 / 125000 positions
  played 150 games, 5692 / 125000 positions
  played 200 games, 7707 / 125000 positions
  played 250 games, 9662 / 125000 positions
  played 300 games, 11457 / 125000 positions
  played 350 games, 13336 / 125000 positions
  played 400 games, 15159 / 125000 positions
  played 450 games, 17025 / 125000 positions
  played 500 games, 18968 / 125000 positions
  played 550 games, 20905 / 125000 positions
  played 600 games, 22836 / 125000 positions
  played 650 games, 24623 / 125000 positions
  played 700 games, 26552 / 125000 positions
  played 750 games, 28443 / 125000 positions
  played 800 games, 30341 / 125000 positions
  played 850 games, 32260 / 125000 positions
  played 900 games, 34168 / 125000 positions
  played 950 games, 36061 / 125000 positions
  played 1000 games, 37940 / 125000 positions
  played 1050 games, 39856 / 125000 positions
  played 1100 games, 41783 / 125000 positions
  played 1150 games, 43553 / 125000 positions
  played 1200 games, 45487 / 125000 positions
  played 1250 games, 47345 / 125000 positions
  played 1300 games, 49250 / 125000 positions
  played 1350 games, 51095 / 125000 positions
  played 1400 games, 52985 / 125000 positions
  played 1450 games, 54860 / 125000 positions
  played 1500 games, 56792 / 125000 positions
  played 1550 games, 58635 / 125000 positions
  played 1600 games, 60487 / 125000 positions
  played 1650 games, 62453 / 125000 positions
  played 1700 games, 64320 / 125000 positions
  played 1750 games, 66138 / 125000 positions
  played 1800 games, 68008 / 125000 positions
  played 1850 games, 69880 / 125000 positions
  played 1900 games, 71826 / 125000 positions
  played 1950 games, 73713 / 125000 positions
  played 2000 games, 75617 / 125000 positions
  played 2050 games, 77613 / 125000 positions
  played 2100 games, 79493 / 125000 positions
  played 2150 games, 81269 / 125000 positions
  played 2200 games, 83124 / 125000 positions
  played 2250 games, 84986 / 125000 positions
  played 2300 games, 86854 / 125000 positions
  played 2350 games, 88756 / 125000 positions
  played 2400 games, 90692 / 125000 positions
  played 2450 games, 92546 / 125000 positions
  played 2500 games, 94444 / 125000 positions
  played 2550 games, 96349 / 125000 positions
  played 2600 games, 98170 / 125000 positions
  played 2650 games, 100102 / 125000 positions
  played 2700 games, 101965 / 125000 positions
  played 2750 games, 103822 / 125000 positions
  played 2800 games, 105698 / 125000 positions
  played 2850 games, 107597 / 125000 positions
  played 2900 games, 109614 / 125000 positions
  played 2950 games, 111562 / 125000 positions
  played 3000 games, 113455 / 125000 positions
  played 3050 games, 115326 / 125000 positions
  played 3100 games, 117220 / 125000 positions
  played 3150 games, 119095 / 125000 positions
  played 3200 games, 120959 / 125000 positions
  played 3250 games, 122893 / 125000 positions
  played 3300 games, 124947 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/sp-5.jnnw
