nmp_off,W:W27;28;32;33;34;35;36;37;38;39;40;48;50:B3;9;10;12;13;16;18;19;21;23;24;25;26,48-43-,28-22-,1
nmp_off,W:W29;30;36;38;39;40;41;46;48;49:B4;8;9;10;13;18;22;26;27;28,38-32-,30-24-,11
nmp_off,W:W25;26;28;30;31;32;33;35;36;38;39;41;42;44;45;48;49:B4;6;7;8;9;10;11;12;13;14;15;17;19;21;22;24;27,41-37-,41-37-,-6
nmp_off,B:W25;27;28;32;33;34;35;36;37;38;39;42;43;44;45;48:B1;3;4;5;6;8;9;12;13;14;16;18;19;23;24;26,6-11-,14-20-,2
nmp_off,W:W30;34;35;40;45;47;48;49;50:B1;2;4;5;6;9;10;12;13;15;16;19;25;29,34-3-9.19.29,34-3-9.19.29,35
nmp_off,W:W23;24;29;33;34;35;36;37;38;39;40;44:B4;8;9;10;11;12;13;15;18;20;21;27,38-32-,38-32-,-3
nmp_off,W:W39;44;49:B3;11;12;13;14;22;25;29;33,39-10-12.13.14.22.33,39-10-12.13.14.22.33,54
nmp_off,B:W26;27;28;30;32;33;35;36;38;39;40;45:B2;8;12;13;14;15;16;18;19;21;23;24,2-7-,2-7-,49
nmp_off,W:W25;26;31;34;35;36;38;41;43;46;49:B6;11;12;13;14;17;18;22;23;27;28,35-30-,34-30-,11
nmp_off,W:W24;27;28;29;32;33;34;36;38;39;41;43;45;46;48:B2;3;6;8;10;11;12;13;15;16;17;18;20;25;26,28-23-,28-23-,0
nmp_off,B:W25;26;28;32;33;35;37;38;39;40;41;42;43;45;46;47;49;50:B2;3;4;5;6;9;10;11;12;14;16;17;18;19;21;22;23;24,2-8-,9-13-,15
nmp_off,W:W25;28;29;31;32;33;34;38;39;42;43;48:B1;4;9;13;14;16;17;19;20;21;22;35,31-26-,29-23-,8
nmp_off,B:W27;31;32;33;34;35;36;37;38;39;40;42;43;45;48:B3;7;8;9;10;12;13;15;16;17;18;20;22;24;25,17-21-,24-29-,9
nmp_off,W:W23;24;26;28;29;31;33;34;38;39;40;41;48;49:B2;3;8;10;12;13;14;15;16;17;20;21;22;25,41-36-,41-36-,9
nmp_off,W:W25;26;27;31;32;33;35;36;38;39;40;42;44;45;49:B2;3;4;6;8;12;13;14;15;16;17;19;23;24;29,32-28-,42-37-,11
nmp_off,W:W26;29;30;34;36;37;38;39;40;45;47;49;50:B4;7;9;12;13;14;16;18;19;20;22;25;27,37-31-,37-31-,-3
nmp_off,W:W16;28;30;32;35;37;38;40;42;45;48:B6;7;8;9;12;13;15;19;23;24;25,28-22-,40-34-,-4
nmp_off,W:W27;28;29;32;33;34;35;36;37;38;39;42;43;44;47;48;50:B2;3;6;8;9;10;12;13;14;16;18;19;20;21;24;25;26,35-30-,35-30-,96
