gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/sp2-8.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=1969 nnue=/root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1475 / 37500 positions
  played 100 games, 3076 / 37500 positions
  played 150 games, 4665 / 37500 positions
  played 200 games, 6142 / 37500 positions
  played 250 games, 7673 / 37500 positions
  played 300 games, 9190 / 37500 positions
  played 350 games, 10764 / 37500 positions
  played 400 games, 12303 / 37500 positions
  played 450 games, 13879 / 37500 positions
  played 500 games, 15530 / 37500 positions
  played 550 games, 17044 / 37500 positions
  played 600 games, 18604 / 37500 positions
  played 650 games, 20174 / 37500 positions
  played 700 games, 21799 / 37500 positions
  played 750 games, 23338 / 37500 positions
  played 800 games, 24939 / 37500 positions
  played 850 games, 26556 / 37500 positions
  played 900 games, 28033 / 37500 positions
  played 950 games, 29585 / 37500 positions
  played 1000 games, 31124 / 37500 positions
  played 1050 games, 32734 / 37500 positions
  played 1100 games, 34209 / 37500 positions
  played 1150 games, 35751 / 37500 positions
  played 1200 games, 37290 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/sp2-8.jnnw
