gen-data-wdl: n=125000 out=/root/jass/jobs/results/cpx62-0213-genpar-seed-train/artefacts.src/cpx-13.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=2600068 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1452 / 125000 positions
  played 100 games, 3123 / 125000 positions
  played 150 games, 4695 / 125000 positions
  played 200 games, 6199 / 125000 positions
  played 250 games, 7741 / 125000 positions
  played 300 games, 9269 / 125000 positions
  played 350 games, 10970 / 125000 positions
  played 400 games, 12578 / 125000 positions
  played 450 games, 14170 / 125000 positions
  played 500 games, 15806 / 125000 positions
  played 550 games, 17429 / 125000 positions
  played 600 games, 18987 / 125000 positions
  played 650 games, 20487 / 125000 positions
  played 700 games, 22092 / 125000 positions
  played 750 games, 23563 / 125000 positions
  played 800 games, 25163 / 125000 positions
  played 850 games, 26804 / 125000 positions
  played 900 games, 28282 / 125000 positions
  played 950 games, 29860 / 125000 positions
  played 1000 games, 31458 / 125000 positions
  played 1050 games, 33124 / 125000 positions
  played 1100 games, 34677 / 125000 positions
  played 1150 games, 36248 / 125000 positions
  played 1200 games, 37936 / 125000 positions
  played 1250 games, 39482 / 125000 positions
  played 1300 games, 41038 / 125000 positions
  played 1350 games, 42605 / 125000 positions
  played 1400 games, 44132 / 125000 positions
  played 1450 games, 45757 / 125000 positions
  played 1500 games, 47386 / 125000 positions
  played 1550 games, 49074 / 125000 positions
  played 1600 games, 50569 / 125000 positions
  played 1650 games, 52279 / 125000 positions
  played 1700 games, 53860 / 125000 positions
  played 1750 games, 55433 / 125000 positions
  played 1800 games, 57032 / 125000 positions
  played 1850 games, 58652 / 125000 positions
  played 1900 games, 60181 / 125000 positions
  played 1950 games, 61698 / 125000 positions
  played 2000 games, 63323 / 125000 positions
  played 2050 games, 64929 / 125000 positions
  played 2100 games, 66365 / 125000 positions
  played 2150 games, 67978 / 125000 positions
  played 2200 games, 69532 / 125000 positions
  played 2250 games, 71063 / 125000 positions
  played 2300 games, 72643 / 125000 positions
  played 2350 games, 74198 / 125000 positions
  played 2400 games, 75795 / 125000 positions
  played 2450 games, 77352 / 125000 positions
  played 2500 games, 78949 / 125000 positions
  played 2550 games, 80530 / 125000 positions
  played 2600 games, 82095 / 125000 positions
  played 2650 games, 83689 / 125000 positions
  played 2700 games, 85288 / 125000 positions
  played 2750 games, 86783 / 125000 positions
  played 2800 games, 88333 / 125000 positions
  played 2850 games, 89870 / 125000 positions
  played 2900 games, 91442 / 125000 positions
  played 2950 games, 92995 / 125000 positions
  played 3000 games, 94522 / 125000 positions
  played 3050 games, 96219 / 125000 positions
  played 3100 games, 97729 / 125000 positions
  played 3150 games, 99239 / 125000 positions
  played 3200 games, 100778 / 125000 positions
  played 3250 games, 102353 / 125000 positions
  played 3300 games, 103945 / 125000 positions
  played 3350 games, 105408 / 125000 positions
  played 3400 games, 106916 / 125000 positions
  played 3450 games, 108455 / 125000 positions
  played 3500 games, 109998 / 125000 positions
  played 3550 games, 111596 / 125000 positions
  played 3600 games, 113125 / 125000 positions
  played 3650 games, 114733 / 125000 positions
  played 3700 games, 116291 / 125000 positions
  played 3750 games, 117855 / 125000 positions
  played 3800 games, 119457 / 125000 positions
  played 3850 games, 121144 / 125000 positions
  played 3900 games, 122828 / 125000 positions
  played 3950 games, 124353 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/cpx62-0213-genpar-seed-train/artefacts.src/cpx-13.jnnw
