gen-data-wdl: n=62500 out=/root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/dist-2.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=30020 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1313 / 62500 positions
  played 100 games, 2668 / 62500 positions
  played 150 games, 4009 / 62500 positions
  played 200 games, 5403 / 62500 positions
  played 250 games, 6805 / 62500 positions
  played 300 games, 8193 / 62500 positions
  played 350 games, 9542 / 62500 positions
  played 400 games, 10887 / 62500 positions
  played 450 games, 12278 / 62500 positions
  played 500 games, 13592 / 62500 positions
  played 550 games, 14942 / 62500 positions
  played 600 games, 16228 / 62500 positions
  played 650 games, 17538 / 62500 positions
  played 700 games, 18858 / 62500 positions
  played 750 games, 20246 / 62500 positions
  played 800 games, 21645 / 62500 positions
  played 850 games, 23023 / 62500 positions
  played 900 games, 24434 / 62500 positions
  played 950 games, 25689 / 62500 positions
  played 1000 games, 27030 / 62500 positions
  played 1050 games, 28285 / 62500 positions
  played 1100 games, 29653 / 62500 positions
  played 1150 games, 31086 / 62500 positions
  played 1200 games, 32438 / 62500 positions
  played 1250 games, 33780 / 62500 positions
  played 1300 games, 35180 / 62500 positions
  played 1350 games, 36561 / 62500 positions
  played 1400 games, 37939 / 62500 positions
  played 1450 games, 39293 / 62500 positions
  played 1500 games, 40596 / 62500 positions
  played 1550 games, 41927 / 62500 positions
  played 1600 games, 43289 / 62500 positions
  played 1650 games, 44673 / 62500 positions
  played 1700 games, 46007 / 62500 positions
  played 1750 games, 47379 / 62500 positions
  played 1800 games, 48669 / 62500 positions
  played 1850 games, 50016 / 62500 positions
  played 1900 games, 51419 / 62500 positions
  played 1950 games, 52793 / 62500 positions
  played 2000 games, 54120 / 62500 positions
  played 2050 games, 55480 / 62500 positions
  played 2100 games, 56835 / 62500 positions
  played 2150 games, 58158 / 62500 positions
  played 2200 games, 59498 / 62500 positions
  played 2250 games, 60833 / 62500 positions
  played 2300 games, 62264 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/dist-2.jnnw
