gen-data-wdl: n=62500 out=/root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/dist-3.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=4071 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1343 / 62500 positions
  played 100 games, 2696 / 62500 positions
  played 150 games, 4053 / 62500 positions
  played 200 games, 5425 / 62500 positions
  played 250 games, 6752 / 62500 positions
  played 300 games, 8098 / 62500 positions
  played 350 games, 9426 / 62500 positions
  played 400 games, 10744 / 62500 positions
  played 450 games, 12070 / 62500 positions
  played 500 games, 13326 / 62500 positions
  played 550 games, 14707 / 62500 positions
  played 600 games, 16100 / 62500 positions
  played 650 games, 17404 / 62500 positions
  played 700 games, 18823 / 62500 positions
  played 750 games, 20163 / 62500 positions
  played 800 games, 21479 / 62500 positions
  played 850 games, 22828 / 62500 positions
  played 900 games, 24180 / 62500 positions
  played 950 games, 25414 / 62500 positions
  played 1000 games, 26796 / 62500 positions
  played 1050 games, 28149 / 62500 positions
  played 1100 games, 29469 / 62500 positions
  played 1150 games, 30826 / 62500 positions
  played 1200 games, 32190 / 62500 positions
  played 1250 games, 33533 / 62500 positions
  played 1300 games, 34897 / 62500 positions
  played 1350 games, 36299 / 62500 positions
  played 1400 games, 37648 / 62500 positions
  played 1450 games, 38992 / 62500 positions
  played 1500 games, 40290 / 62500 positions
  played 1550 games, 41668 / 62500 positions
  played 1600 games, 43004 / 62500 positions
  played 1650 games, 44352 / 62500 positions
  played 1700 games, 45708 / 62500 positions
  played 1750 games, 47074 / 62500 positions
  played 1800 games, 48437 / 62500 positions
  played 1850 games, 49780 / 62500 positions
  played 1900 games, 51107 / 62500 positions
  played 1950 games, 52430 / 62500 positions
  played 2000 games, 53753 / 62500 positions
  played 2050 games, 55124 / 62500 positions
  played 2100 games, 56500 / 62500 positions
  played 2150 games, 57807 / 62500 positions
  played 2200 games, 59205 / 62500 positions
  played 2250 games, 60587 / 62500 positions
  played 2300 games, 61891 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/dist-3.jnnw
