gen-data-wdl: n=62500 out=/root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/flat-4.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=19016 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1345 / 62500 positions
  played 100 games, 2707 / 62500 positions
  played 150 games, 4040 / 62500 positions
  played 200 games, 5387 / 62500 positions
  played 250 games, 6766 / 62500 positions
  played 300 games, 8139 / 62500 positions
  played 350 games, 9479 / 62500 positions
  played 400 games, 10786 / 62500 positions
  played 450 games, 12142 / 62500 positions
  played 500 games, 13539 / 62500 positions
  played 550 games, 14864 / 62500 positions
  played 600 games, 16198 / 62500 positions
  played 650 games, 17554 / 62500 positions
  played 700 games, 18850 / 62500 positions
  played 750 games, 20212 / 62500 positions
  played 800 games, 21536 / 62500 positions
  played 850 games, 22916 / 62500 positions
  played 900 games, 24235 / 62500 positions
  played 950 games, 25601 / 62500 positions
  played 1000 games, 26974 / 62500 positions
  played 1050 games, 28217 / 62500 positions
  played 1100 games, 29583 / 62500 positions
  played 1150 games, 30928 / 62500 positions
  played 1200 games, 32288 / 62500 positions
  played 1250 games, 33645 / 62500 positions
  played 1300 games, 35036 / 62500 positions
  played 1350 games, 36338 / 62500 positions
  played 1400 games, 37661 / 62500 positions
  played 1450 games, 38994 / 62500 positions
  played 1500 games, 40413 / 62500 positions
  played 1550 games, 41735 / 62500 positions
  played 1600 games, 43158 / 62500 positions
  played 1650 games, 44483 / 62500 positions
  played 1700 games, 45805 / 62500 positions
  played 1750 games, 47160 / 62500 positions
  played 1800 games, 48559 / 62500 positions
  played 1850 games, 49926 / 62500 positions
  played 1900 games, 51298 / 62500 positions
  played 1950 games, 52577 / 62500 positions
  played 2000 games, 53899 / 62500 positions
  played 2050 games, 55249 / 62500 positions
  played 2100 games, 56606 / 62500 positions
  played 2150 games, 57971 / 62500 positions
  played 2200 games, 59338 / 62500 positions
  played 2250 games, 60733 / 62500 positions
  played 2300 games, 62019 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/flat-4.jnnw
