gen-data-wdl: n=62500 out=/root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/flat-5.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=7792 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1320 / 62500 positions
  played 100 games, 2682 / 62500 positions
  played 150 games, 4034 / 62500 positions
  played 200 games, 5374 / 62500 positions
  played 250 games, 6723 / 62500 positions
  played 300 games, 8103 / 62500 positions
  played 350 games, 9473 / 62500 positions
  played 400 games, 10764 / 62500 positions
  played 450 games, 12183 / 62500 positions
  played 500 games, 13545 / 62500 positions
  played 550 games, 15016 / 62500 positions
  played 600 games, 16382 / 62500 positions
  played 650 games, 17705 / 62500 positions
  played 700 games, 19041 / 62500 positions
  played 750 games, 20335 / 62500 positions
  played 800 games, 21749 / 62500 positions
  played 850 games, 23093 / 62500 positions
  played 900 games, 24479 / 62500 positions
  played 950 games, 25850 / 62500 positions
  played 1000 games, 27153 / 62500 positions
  played 1050 games, 28470 / 62500 positions
  played 1100 games, 29800 / 62500 positions
  played 1150 games, 31065 / 62500 positions
  played 1200 games, 32458 / 62500 positions
  played 1250 games, 33849 / 62500 positions
  played 1300 games, 35184 / 62500 positions
  played 1350 games, 36540 / 62500 positions
  played 1400 games, 37910 / 62500 positions
  played 1450 games, 39200 / 62500 positions
  played 1500 games, 40519 / 62500 positions
  played 1550 games, 41828 / 62500 positions
  played 1600 games, 43225 / 62500 positions
  played 1650 games, 44586 / 62500 positions
  played 1700 games, 45937 / 62500 positions
  played 1750 games, 47320 / 62500 positions
  played 1800 games, 48711 / 62500 positions
  played 1850 games, 50074 / 62500 positions
  played 1900 games, 51435 / 62500 positions
  played 1950 games, 52776 / 62500 positions
  played 2000 games, 54091 / 62500 positions
  played 2050 games, 55462 / 62500 positions
  played 2100 games, 56772 / 62500 positions
  played 2150 games, 58100 / 62500 positions
  played 2200 games, 59491 / 62500 positions
  played 2250 games, 60804 / 62500 positions
  played 2300 games, 62167 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/flat-5.jnnw
