gen-data-wdl: n=37500 out=/root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/sp1-3.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=103 nnue=/root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1874 / 37500 positions
  played 100 games, 3813 / 37500 positions
  played 150 games, 5647 / 37500 positions
  played 200 games, 7522 / 37500 positions
  played 250 games, 9525 / 37500 positions
  played 300 games, 11410 / 37500 positions
  played 350 games, 13294 / 37500 positions
  played 400 games, 15159 / 37500 positions
  played 450 games, 16986 / 37500 positions
  played 500 games, 18774 / 37500 positions
  played 550 games, 20575 / 37500 positions
  played 600 games, 22499 / 37500 positions
  played 650 games, 24406 / 37500 positions
  played 700 games, 26190 / 37500 positions
  played 750 games, 28067 / 37500 positions
  played 800 games, 29822 / 37500 positions
  played 850 games, 31569 / 37500 positions
  played 900 games, 33415 / 37500 positions
  played 950 games, 35276 / 37500 positions
  played 1000 games, 37214 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/sp1-3.jnnw
