gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp5-16.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=27996 nnue=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1524 / 18750 positions
  played 100 games, 3153 / 18750 positions
  played 150 games, 4659 / 18750 positions
  played 200 games, 6255 / 18750 positions
  played 250 games, 7867 / 18750 positions
  played 300 games, 9388 / 18750 positions
  played 350 games, 10970 / 18750 positions
  played 400 games, 12665 / 18750 positions
  played 450 games, 14331 / 18750 positions
  played 500 games, 15881 / 18750 positions
  played 550 games, 17404 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp5-16.jnnw
