gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp3-4.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=26784 nnue=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1621 / 18750 positions
  played 100 games, 3213 / 18750 positions
  played 150 games, 4802 / 18750 positions
  played 200 games, 6293 / 18750 positions
  played 250 games, 7903 / 18750 positions
  played 300 games, 9557 / 18750 positions
  played 350 games, 11106 / 18750 positions
  played 400 games, 12644 / 18750 positions
  played 450 games, 14127 / 18750 positions
  played 500 games, 15691 / 18750 positions
  played 550 games, 17161 / 18750 positions
  played 600 games, 18630 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp3-4.jnnw
