gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp7-3.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=15993 nnue=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/gen6.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1555 / 18750 positions
  played 100 games, 3138 / 18750 positions
  played 150 games, 4762 / 18750 positions
  played 200 games, 6404 / 18750 positions
  played 250 games, 7973 / 18750 positions
  played 300 games, 9487 / 18750 positions
  played 350 games, 11042 / 18750 positions
  played 400 games, 12607 / 18750 positions
  played 450 games, 14128 / 18750 positions
  played 500 games, 15736 / 18750 positions
  played 550 games, 17325 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp7-3.jnnw
