gen-data-wdl: n=125000 out=/root/jass/jobs/results/cpx62-0242-bucket-coverage/artefacts.src/sp-12.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=9725 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1709 / 125000 positions
  played 100 games, 3301 / 125000 positions
  played 150 games, 4902 / 125000 positions
  played 200 games, 6568 / 125000 positions
  played 250 games, 8163 / 125000 positions
  played 300 games, 9820 / 125000 positions
  played 350 games, 11338 / 125000 positions
  played 400 games, 12830 / 125000 positions
  played 450 games, 14428 / 125000 positions
  played 500 games, 16104 / 125000 positions
  played 550 games, 17694 / 125000 positions
  played 600 games, 19257 / 125000 positions
  played 650 games, 20882 / 125000 positions
  played 700 games, 22510 / 125000 positions
  played 750 games, 24145 / 125000 positions
  played 800 games, 25814 / 125000 positions
  played 850 games, 27408 / 125000 positions
  played 900 games, 29110 / 125000 positions
  played 950 games, 30643 / 125000 positions
  played 1000 games, 32355 / 125000 positions
  played 1050 games, 33998 / 125000 positions
  played 1100 games, 35465 / 125000 positions
  played 1150 games, 37065 / 125000 positions
  played 1200 games, 38647 / 125000 positions
  played 1250 games, 40214 / 125000 positions
  played 1300 games, 41873 / 125000 positions
  played 1350 games, 43495 / 125000 positions
  played 1400 games, 45063 / 125000 positions
  played 1450 games, 46548 / 125000 positions
  played 1500 games, 48150 / 125000 positions
  played 1550 games, 49821 / 125000 positions
  played 1600 games, 51383 / 125000 positions
  played 1650 games, 52972 / 125000 positions
  played 1700 games, 54650 / 125000 positions
  played 1750 games, 56274 / 125000 positions
  played 1800 games, 57920 / 125000 positions
  played 1850 games, 59534 / 125000 positions
  played 1900 games, 61095 / 125000 positions
  played 1950 games, 62636 / 125000 positions
  played 2000 games, 64257 / 125000 positions
  played 2050 games, 65909 / 125000 positions
  played 2100 games, 67504 / 125000 positions
  played 2150 games, 69282 / 125000 positions
  played 2200 games, 70832 / 125000 positions
  played 2250 games, 72310 / 125000 positions
  played 2300 games, 73865 / 125000 positions
  played 2350 games, 75461 / 125000 positions
  played 2400 games, 77060 / 125000 positions
  played 2450 games, 78570 / 125000 positions
  played 2500 games, 80104 / 125000 positions
  played 2550 games, 81535 / 125000 positions
  played 2600 games, 83198 / 125000 positions
  played 2650 games, 84788 / 125000 positions
  played 2700 games, 86295 / 125000 positions
  played 2750 games, 87811 / 125000 positions
  played 2800 games, 89313 / 125000 positions
  played 2850 games, 90909 / 125000 positions
  played 2900 games, 92472 / 125000 positions
  played 2950 games, 94056 / 125000 positions
  played 3000 games, 95694 / 125000 positions
  played 3050 games, 97379 / 125000 positions
  played 3100 games, 98984 / 125000 positions
  played 3150 games, 100575 / 125000 positions
  played 3200 games, 102375 / 125000 positions
  played 3250 games, 104023 / 125000 positions
  played 3300 games, 105502 / 125000 positions
  played 3350 games, 106985 / 125000 positions
  played 3400 games, 108609 / 125000 positions
  played 3450 games, 110105 / 125000 positions
  played 3500 games, 111526 / 125000 positions
  played 3550 games, 113089 / 125000 positions
  played 3600 games, 114706 / 125000 positions
  played 3650 games, 116191 / 125000 positions
  played 3700 games, 117762 / 125000 positions
  played 3750 games, 119356 / 125000 positions
  played 3800 games, 120901 / 125000 positions
  played 3850 games, 122538 / 125000 positions
  played 3900 games, 124114 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/cpx62-0242-bucket-coverage/artefacts.src/sp-12.jnnw
