gen-data-wdl: n=125000 out=/root/jass/jobs/results/cpx62-0242-bucket-coverage/artefacts.src/sp-8.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=12761 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1538 / 125000 positions
  played 100 games, 3056 / 125000 positions
  played 150 games, 4548 / 125000 positions
  played 200 games, 6127 / 125000 positions
  played 250 games, 7703 / 125000 positions
  played 300 games, 9308 / 125000 positions
  played 350 games, 10982 / 125000 positions
  played 400 games, 12542 / 125000 positions
  played 450 games, 14070 / 125000 positions
  played 500 games, 15546 / 125000 positions
  played 550 games, 17096 / 125000 positions
  played 600 games, 18707 / 125000 positions
  played 650 games, 20323 / 125000 positions
  played 700 games, 21922 / 125000 positions
  played 750 games, 23489 / 125000 positions
  played 800 games, 25038 / 125000 positions
  played 850 games, 26707 / 125000 positions
  played 900 games, 28228 / 125000 positions
  played 950 games, 29783 / 125000 positions
  played 1000 games, 31417 / 125000 positions
  played 1050 games, 32984 / 125000 positions
  played 1100 games, 34570 / 125000 positions
  played 1150 games, 36162 / 125000 positions
  played 1200 games, 37721 / 125000 positions
  played 1250 games, 39220 / 125000 positions
  played 1300 games, 40852 / 125000 positions
  played 1350 games, 42446 / 125000 positions
  played 1400 games, 44102 / 125000 positions
  played 1450 games, 45706 / 125000 positions
  played 1500 games, 47272 / 125000 positions
  played 1550 games, 48859 / 125000 positions
  played 1600 games, 50377 / 125000 positions
  played 1650 games, 51923 / 125000 positions
  played 1700 games, 53345 / 125000 positions
  played 1750 games, 54990 / 125000 positions
  played 1800 games, 56720 / 125000 positions
  played 1850 games, 58232 / 125000 positions
  played 1900 games, 59855 / 125000 positions
  played 1950 games, 61440 / 125000 positions
  played 2000 games, 63110 / 125000 positions
  played 2050 games, 64711 / 125000 positions
  played 2100 games, 66317 / 125000 positions
  played 2150 games, 67871 / 125000 positions
  played 2200 games, 69480 / 125000 positions
  played 2250 games, 70963 / 125000 positions
  played 2300 games, 72650 / 125000 positions
  played 2350 games, 74195 / 125000 positions
  played 2400 games, 75804 / 125000 positions
  played 2450 games, 77373 / 125000 positions
  played 2500 games, 78878 / 125000 positions
  played 2550 games, 80427 / 125000 positions
  played 2600 games, 82067 / 125000 positions
  played 2650 games, 83676 / 125000 positions
  played 2700 games, 85250 / 125000 positions
  played 2750 games, 86693 / 125000 positions
  played 2800 games, 88178 / 125000 positions
  played 2850 games, 89826 / 125000 positions
  played 2900 games, 91366 / 125000 positions
  played 2950 games, 92988 / 125000 positions
  played 3000 games, 94488 / 125000 positions
  played 3050 games, 96100 / 125000 positions
  played 3100 games, 97655 / 125000 positions
  played 3150 games, 99181 / 125000 positions
  played 3200 games, 100672 / 125000 positions
  played 3250 games, 102281 / 125000 positions
  played 3300 games, 103847 / 125000 positions
  played 3350 games, 105392 / 125000 positions
  played 3400 games, 106936 / 125000 positions
  played 3450 games, 108446 / 125000 positions
  played 3500 games, 110117 / 125000 positions
  played 3550 games, 111696 / 125000 positions
  played 3600 games, 113276 / 125000 positions
  played 3650 games, 114849 / 125000 positions
  played 3700 games, 116348 / 125000 positions
  played 3750 games, 117938 / 125000 positions
  played 3800 games, 119504 / 125000 positions
  played 3850 games, 121112 / 125000 positions
  played 3900 games, 122576 / 125000 positions
  played 3950 games, 124120 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/cpx62-0242-bucket-coverage/artefacts.src/sp-8.jnnw
