gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp1-6.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=20126 nnue=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1630 / 18750 positions
  played 100 games, 3460 / 18750 positions
  played 150 games, 5102 / 18750 positions
  played 200 games, 6890 / 18750 positions
  played 250 games, 8664 / 18750 positions
  played 300 games, 10288 / 18750 positions
  played 350 games, 11973 / 18750 positions
  played 400 games, 13698 / 18750 positions
  played 450 games, 15578 / 18750 positions
  played 500 games, 17355 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp1-6.jnnw
