gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp3-1.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=9200 nnue=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1766 / 18750 positions
  played 100 games, 3404 / 18750 positions
  played 150 games, 5067 / 18750 positions
  played 200 games, 6688 / 18750 positions
  played 250 games, 8434 / 18750 positions
  played 300 games, 10118 / 18750 positions
  played 350 games, 11778 / 18750 positions
  played 400 games, 13425 / 18750 positions
  played 450 games, 15220 / 18750 positions
  played 500 games, 16928 / 18750 positions
  played 550 games, 18665 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp3-1.jnnw
