input : /root/jass/jobs/results/0014-fetch-master-games/artefacts.src/master-1600.jnnw (4738008 records, processing 592251 from offset 592251, drop_skipped=True)
  96000/592251  (16.2%)  rate=238.7 pos/s  eta=34.7 min  written=95358 skipped=642
  97000/592251  (16.4%)  rate=238.9 pos/s  eta=34.5 min  written=96350 skipped=650
  98000/592251  (16.5%)  rate=239.2 pos/s  eta=34.4 min  written=97337 skipped=663
  99000/592251  (16.7%)  rate=239.3 pos/s  eta=34.4 min  written=98324 skipped=676
  100000/592251  (16.9%)  rate=239.5 pos/s  eta=34.3 min  written=99320 skipped=680
  101000/592251  (17.1%)  rate=239.6 pos/s  eta=34.2 min  written=100313 skipped=687
  102000/592251  (17.2%)  rate=239.9 pos/s  eta=34.1 min  written=101307 skipped=693
  103000/592251  (17.4%)  rate=240.0 pos/s  eta=34.0 min  written=102303 skipped=697
  105000/592251  (17.7%)  rate=239.9 pos/s  eta=33.8 min  written=104287 skipped=713
  106000/592251  (17.9%)  rate=240.1 pos/s  eta=33.8 min  written=105285 skipped=715
  107000/592251  (18.1%)  rate=240.2 pos/s  eta=33.7 min  written=106279 skipped=721
  108000/592251  (18.2%)  rate=240.5 pos/s  eta=33.6 min  written=107273 skipped=727
  109000/592251  (18.4%)  rate=240.6 pos/s  eta=33.5 min  written=108266 skipped=734
  110000/592251  (18.6%)  rate=240.8 pos/s  eta=33.4 min  written=109254 skipped=746
  113000/592251  (19.1%)  rate=241.2 pos/s  eta=33.1 min  written=112231 skipped=769
  114000/592251  (19.2%)  rate=241.5 pos/s  eta=33.0 min  written=113225 skipped=775
  115000/592251  (19.4%)  rate=241.4 pos/s  eta=32.9 min  written=114217 skipped=783
  116000/592251  (19.6%)  rate=241.8 pos/s  eta=32.8 min  written=115212 skipped=788
  117000/592251  (19.8%)  rate=242.1 pos/s  eta=32.7 min  written=116203 skipped=797
  118000/592251  (19.9%)  rate=242.5 pos/s  eta=32.6 min  written=117196 skipped=804
  119000/592251  (20.1%)  rate=242.8 pos/s  eta=32.5 min  written=118190 skipped=810
  120000/592251  (20.3%)  rate=242.7 pos/s  eta=32.4 min  written=119182 skipped=818
  121000/592251  (20.4%)  rate=242.8 pos/s  eta=32.4 min  written=120177 skipped=823
  123000/592251  (20.8%)  rate=243.1 pos/s  eta=32.2 min  written=122165 skipped=835
  124000/592251  (20.9%)  rate=243.2 pos/s  eta=32.1 min  written=123150 skipped=850
  126000/592251  (21.3%)  rate=243.4 pos/s  eta=31.9 min  written=125142 skipped=858
  127000/592251  (21.4%)  rate=243.4 pos/s  eta=31.9 min  written=126134 skipped=866
  128000/592251  (21.6%)  rate=243.6 pos/s  eta=31.8 min  written=127127 skipped=873
  129000/592251  (21.8%)  rate=243.5 pos/s  eta=31.7 min  written=128123 skipped=877
  130000/592251  (22.0%)  rate=243.6 pos/s  eta=31.6 min  written=129118 skipped=882
  131000/592251  (22.1%)  rate=243.4 pos/s  eta=31.6 min  written=130112 skipped=888
  133000/592251  (22.5%)  rate=243.5 pos/s  eta=31.4 min  written=132083 skipped=917
  134000/592251  (22.6%)  rate=243.4 pos/s  eta=31.4 min  written=133078 skipped=922
  135000/592251  (22.8%)  rate=243.4 pos/s  eta=31.3 min  written=134074 skipped=926
  136000/592251  (23.0%)  rate=243.4 pos/s  eta=31.2 min  written=135062 skipped=938
  137000/592251  (23.1%)  rate=243.0 pos/s  eta=31.2 min  written=136055 skipped=945
  138000/592251  (23.3%)  rate=243.1 pos/s  eta=31.1 min  written=137048 skipped=952
  139000/592251  (23.5%)  rate=242.9 pos/s  eta=31.1 min  written=138041 skipped=959
  140000/592251  (23.6%)  rate=243.0 pos/s  eta=31.0 min  written=139033 skipped=967
  141000/592251  (23.8%)  rate=242.9 pos/s  eta=31.0 min  written=140026 skipped=974
