gen-data-wdl: n=250000 out=/root/jass/jobs/results/0010-gen-data-depth20-1M-smallbox/artefacts.src/shard-1.bin eval_depth=20 play_depth=4 max_plies=200 seed=1
  played 7850 games, 221398 / 250000 positions
  played 7900 games, 222865 / 250000 positions
  played 7950 games, 224218 / 250000 positions
  played 8000 games, 225533 / 250000 positions
  played 8050 games, 227016 / 250000 positions
  played 8100 games, 228426 / 250000 positions
  played 8150 games, 229905 / 250000 positions
  played 8200 games, 231294 / 250000 positions
  played 8250 games, 232689 / 250000 positions
  played 8300 games, 234209 / 250000 positions
  played 8350 games, 235520 / 250000 positions
  played 8400 games, 236942 / 250000 positions
  played 8450 games, 238422 / 250000 positions
  played 8500 games, 239883 / 250000 positions
  played 8550 games, 241283 / 250000 positions
  played 8600 games, 242731 / 250000 positions
  played 8650 games, 244133 / 250000 positions
  played 8700 games, 245544 / 250000 positions
  played 8750 games, 246909 / 250000 positions
  played 8800 games, 248255 / 250000 positions
  played 8850 games, 249692 / 250000 positions
wrote 250000 WDL records to /root/jass/jobs/results/0010-gen-data-depth20-1M-smallbox/artefacts.src/shard-1.bin
