gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0217-elo-loop-mt30/artefacts.src/sp1-14.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=8926 nnue=/root/jass/jobs/results/cpx62-0217-elo-loop-mt30/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1726 / 18750 positions
  played 100 games, 3568 / 18750 positions
  played 150 games, 5251 / 18750 positions
  played 200 games, 6909 / 18750 positions
  played 250 games, 8652 / 18750 positions
  played 300 games, 10395 / 18750 positions
  played 350 games, 12053 / 18750 positions
  played 400 games, 13708 / 18750 positions
  played 450 games, 15385 / 18750 positions
  played 500 games, 17049 / 18750 positions
  played 550 games, 18598 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0217-elo-loop-mt30/artefacts.src/sp1-14.jnnw
