gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp7-15.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=8155 nnue=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/gen6.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1614 / 18750 positions
  played 100 games, 3226 / 18750 positions
  played 150 games, 4794 / 18750 positions
  played 200 games, 6250 / 18750 positions
  played 250 games, 7718 / 18750 positions
  played 300 games, 9287 / 18750 positions
  played 350 games, 10778 / 18750 positions
  played 400 games, 12315 / 18750 positions
  played 450 games, 13844 / 18750 positions
  played 500 games, 15420 / 18750 positions
  played 550 games, 17044 / 18750 positions
  played 600 games, 18524 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp7-15.jnnw
