gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp3-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=20213 nnue=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1628 / 18750 positions
  played 100 games, 3149 / 18750 positions
  played 150 games, 4731 / 18750 positions
  played 200 games, 6332 / 18750 positions
  played 250 games, 7932 / 18750 positions
  played 300 games, 9537 / 18750 positions
  played 350 games, 10990 / 18750 positions
  played 400 games, 12458 / 18750 positions
  played 450 games, 13974 / 18750 positions
  played 500 games, 15564 / 18750 positions
  played 550 games, 17240 / 18750 positions
  played 600 games, 18750 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp3-2.jnnw
