gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp5-5.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=11572 nnue=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1557 / 18750 positions
  played 100 games, 3109 / 18750 positions
  played 150 games, 4580 / 18750 positions
  played 200 games, 6133 / 18750 positions
  played 250 games, 7708 / 18750 positions
  played 300 games, 9360 / 18750 positions
  played 350 games, 10892 / 18750 positions
  played 400 games, 12461 / 18750 positions
  played 450 games, 14017 / 18750 positions
  played 500 games, 15568 / 18750 positions
  played 550 games, 17207 / 18750 positions
  played 600 games, 18750 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp5-5.jnnw
